0,1,2,3,4,5,6,7,8,1h_min,2h_min,3h_min,4h_min,5h_min
7,2,1,3,3,0.000191455,0,2,"128,4,2,8,4",0,0,-1,-1,-1
6,1,1,3,3,6.86374e-05,1,2,"64,2,2,8,4",0,0,-1,-1,-1
6,0,1,2,3,3.4651e-05,2,2,"64,1,2,4,4",0,0,-1,-1,-1
5,0,1,2,3,2.86855e-05,3,2,"32,1,2,4,4",1,0,-1,-1,-1
4,0,2,2,3,2.73854e-05,4,2,"16,1,4,4,4",0,0,-1,-1,-1
4,0,3,1,3,2.4826e-05,5,2,"16,1,8,2,4",0,0,-1,-1,-1
4,0,3,1,4,2.36147e-05,6,2,"16,1,8,2,6",0,0,-1,-1,-1
4,0,3,1,5,1.94397e-05,7,2,"16,1,8,2,8",1,0,-1,-1,-1
3,0,4,1,5,1.943e-05,8,2,"8,1,16,2,8",1,1,1,1,1
