index,exe_time,tile_sizes,mark,age
0,0.00312102,"1,256,64,1,24",2,0
1,0.0019712,"1,256,64,1,16",2,0
2,0.00272526,"1,256,64,1,32",2,0
3,0.00279164,"1,256,32,1,24",2,0
4,10000000000.0,"2,256,64,1,24",2,0
5,0.00111749,"1,128,64,1,24",2,0
6,0.00183871,"1,256,32,1,16",2,0
7,0.00278213,"1,256,32,1,32",2,0
8,0.00473451,"1,256,32,2,24",2,0
9,0.00116398,"2,256,64,1,16",2,0
10,10000000000.0,"2,256,64,1,32",2,0
11,10000000000.0,"2,256,32,1,24",2,0
12,0.000690409,"1,128,64,1,16",2,0
13,0.000256608,"1,128,64,1,32",2,0
14,0.000985168,"1,128,32,1,24",2,0
15,0.000720359,"2,128,64,1,24",2,0
16,0.000256608,"1,128,64,1,32",2,1
17,0.00112755,"1,128,64,1,24",2,1
18,0.00025175,"1,128,64,1,48",2,1
19,0.00025381,"1,128,32,1,32",2,1
20,0.000453687,"2,128,64,1,32",2,1
21,6.30474e-05,"1,64,64,1,32",2,1
22,0.000988684,"1,128,32,1,24",2,1
23,0.000256374,"1,128,32,1,48",2,1
24,0.00150076,"1,128,32,2,32",2,1
25,0.000704264,"2,128,64,1,24",2,1
26,10000000000.0,"2,128,64,1,48",2,1
27,0.0002633,"2,128,32,1,32",2,1
28,7.2762e-05,"1,64,64,1,24",2,1
29,9.0171e-05,"1,64,64,1,48",2,1
30,6.09881e-05,"1,64,32,1,32",2,1
31,8.45736e-05,"2,64,64,1,32",2,1
32,6.09881e-05,"1,64,32,1,32",2,2
33,0.000129948,"1,64,32,1,24",2,2
34,9.56148e-05,"1,64,32,1,48",2,2
35,6.30379e-05,"1,64,64,1,32",2,2
36,0.000147936,"1,64,32,2,32",2,2
37,6.70801e-05,"2,64,32,1,32",2,2
38,3.39769e-05,"1,32,32,1,32",2,2
39,7.27014e-05,"1,64,64,1,24",2,2
40,9.0185e-05,"1,64,64,1,48",2,2
41,0.000298285,"1,64,32,2,24",2,2
42,0.000145889,"1,64,32,2,48",2,2
43,8.28272e-05,"2,64,32,1,24",2,2
44,0.000100663,"2,64,32,1,48",2,2
45,7.4e-05,"2,64,16,1,32",2,2
46,8.45708e-05,"2,64,64,1,32",2,2
47,0.000152245,"2,64,32,2,32",2,2
48,3.95604e-05,"1,32,32,1,24",2,2
49,3.74022e-05,"1,32,32,1,48",2,2
50,3.67552e-05,"1,32,64,1,32",2,2
51,5.40092e-05,"1,32,32,2,32",2,2
52,3.72946e-05,"2,32,32,1,32",2,2
53,3.39769e-05,"1,32,32,1,32",2,3
54,3.95641e-05,"1,32,32,1,24",2,3
55,3.73954e-05,"1,32,32,1,48",2,3
56,3.67816e-05,"1,32,64,1,32",2,3
57,5.40833e-05,"1,32,32,2,32",2,3
58,3.72469e-05,"2,32,32,1,32",2,3
59,2.14582e-05,"1,16,32,1,32",2,3
60,4.02045e-05,"1,32,64,1,24",2,3
61,3.90481e-05,"1,32,64,1,48",2,3
62,6.00071e-05,"1,32,32,2,24",2,3
63,5.27411e-05,"1,32,32,2,48",2,3
64,4.45647e-05,"2,32,32,1,24",2,3
65,3.98264e-05,"2,32,32,1,48",2,3
66,3.70083e-05,"2,32,16,1,32",2,3
67,4.5335e-05,"2,32,64,1,32",2,3
68,5.6142e-05,"2,32,32,2,32",2,3
69,2.29942e-05,"1,16,32,1,24",2,3
70,2.20677e-05,"1,16,32,1,48",2,3
71,2.3322e-05,"1,16,64,1,32",2,3
72,3.24496e-05,"1,16,32,2,32",2,3
73,2.28811e-05,"2,16,32,1,32",2,3
74,2.14582e-05,"1,16,32,1,32",2,4
75,2.3057e-05,"1,16,32,1,24",2,4
76,2.21397e-05,"1,16,32,1,48",2,4
77,2.33751e-05,"1,16,64,1,32",2,4
78,3.25418e-05,"1,16,32,2,32",2,4
79,2.29414e-05,"2,16,32,1,32",2,4
80,1.70227e-05,"1,8,32,1,32",2,4
81,3.46909e-05,"1,16,64,1,24",2,4
82,2.2476e-05,"1,16,64,1,48",2,4
83,3.65558e-05,"1,16,32,2,24",2,4
84,3.29677e-05,"1,16,32,2,48",2,4
85,3.11118e-05,"2,16,32,1,24",2,4
86,2.31866e-05,"2,16,32,1,48",2,4
87,2.2296e-05,"2,16,16,1,32",2,4
88,3.16761e-05,"2,16,64,1,32",2,4
89,3.27165e-05,"2,16,32,2,32",2,4
90,1.84238e-05,"1,8,32,1,24",2,4
91,1.55452e-05,"1,8,32,1,48",2,4
92,1.81785e-05,"1,8,64,1,32",2,4
93,2.28884e-05,"1,8,32,2,32",2,4
94,1.68833e-05,"2,8,32,1,32",2,4
95,1.55452e-05,"1,8,32,1,48",2,5
96,1.70166e-05,"1,8,32,1,32",2,5
97,1.53796e-05,"1,8,32,1,64",2,5
98,1.76221e-05,"1,8,64,1,48",2,5
99,2.22558e-05,"1,8,32,2,48",2,5
100,1.51757e-05,"2,8,32,1,48",2,5
101,1.68441e-05,"1,4,32,1,48",2,5
102,1.81784e-05,"1,8,64,1,32",2,5
103,1.66179e-05,"1,8,64,1,64",2,5
104,2.28778e-05,"1,8,32,2,32",2,5
105,2.21536e-05,"1,8,32,2,64",2,5
106,1.69072e-05,"2,8,32,1,32",2,5
107,1.47924e-05,"2,8,32,1,64",2,5
108,1.61458e-05,"2,8,16,1,48",2,5
109,2.05712e-05,"2,8,64,1,48",2,5
110,2.25839e-05,"2,8,32,2,48",2,5
111,1.67024e-05,"1,4,32,1,32",2,5
112,1.66952e-05,"1,4,32,1,64",2,5
