0,1,2,3,4,5,6,7,8,1h_min,2h_min,3h_min,4h_min,5h_min
7,1,1,3,0,0.000225806,0,2,"128,2,2,8,1",0,0,-1,-1,-1
7,0,1,3,1,9.01704e-05,1,2,"128,1,2,8,2",0,0,-1,-1,-1
6,0,1,2,1,4.91e-05,2,2,"64,1,2,4,2",0,0,-1,-1,-1
5,0,1,2,2,3.99937e-05,3,2,"32,1,2,4,3",0,0,-1,-1,-1
5,0,1,2,3,2.84832e-05,4,2,"32,1,2,4,4",1,0,-1,-1,-1
4,0,2,2,3,2.72743e-05,5,2,"16,1,4,4,4",1,0,-1,-1,-1
4,0,3,1,3,2.4808e-05,6,2,"16,1,8,2,4",0,0,-1,-1,-1
4,0,3,1,4,2.37094e-05,7,2,"16,1,8,2,6",0,0,-1,-1,-1
4,0,3,1,5,1.94746e-05,8,2,"16,1,8,2,8",1,0,-1,-1,-1
3,0,4,1,5,1.94175e-05,9,2,"8,1,16,2,8",1,1,1,1,1
