0,1,2,3,4,5,6,7,8,1h_min,2h_min,3h_min,4h_min,5h_min
0,8,6,0,8,0.00312102,0,2,"1,256,64,1,24",0,0,-1,-1,-1
0,7,6,0,9,0.000256608,1,2,"1,128,64,1,32",0,0,-1,-1,-1
0,6,5,0,9,6.09881e-05,2,2,"1,64,32,1,32",0,0,-1,-1,-1
0,5,5,0,9,3.39769e-05,3,2,"1,32,32,1,32",0,0,-1,-1,-1
0,4,5,0,9,2.14582e-05,4,2,"1,16,32,1,32",0,0,-1,-1,-1
0,3,5,0,10,1.55452e-05,5,2,"1,8,32,1,48",0,0,-1,-1,-1
1,3,5,0,11,1.47924e-05,6,2,"2,8,32,1,64",0,0,-1,-1,-1
1,2,5,0,12,1.43691e-05,7,2,"2,4,32,1,96",0,0,-1,-1,-1
2,2,5,0,13,1.35977e-05,8,2,"4,4,32,1,128",0,0,-1,-1,-1
2,2,4,1,13,1.28272e-05,9,2,"4,4,16,2,128",0,0,-1,-1,-1
3,1,4,1,13,1.22786e-05,10,2,"8,2,16,2,128",1,1,1,1,1
