0,1,2,3,4,5,6,7,8,1h_min,2h_min,3h_min,4h_min,5h_min
3,6,3,3,0,0.00399036,0,2,"8,64,8,8,1",0,0,-1,-1,-1
3,5,3,2,0,0.000300808,1,2,"8,32,8,4,1",0,0,-1,-1,-1
3,4,3,2,1,0.000130125,2,2,"8,16,8,4,2",0,0,-1,-1,-1
3,3,3,2,2,8.72253e-05,3,2,"8,8,8,4,3",0,0,-1,-1,-1
3,2,3,2,3,4.95062e-05,4,2,"8,4,8,4,4",0,0,-1,-1,-1
3,1,3,1,3,2.63513e-05,5,2,"8,2,8,2,4",0,0,-1,-1,-1
2,0,3,1,3,2.39494e-05,6,2,"4,1,8,2,4",0,1,-1,-1,-1
2,0,4,1,3,2.37151e-05,7,2,"4,1,16,2,4",1,1,0,-1,-1
1,1,4,0,3,2.36193e-05,8,2,"2,2,16,1,4",1,1,0,-1,-1
2,1,3,0,4,2.33888e-05,9,2,"4,2,8,1,6",0,0,-1,-1,-1
2,1,4,0,5,1.9928e-05,10,2,"4,2,16,1,8",1,1,0,-1,-1
3,0,4,1,5,1.95755e-05,11,2,"8,1,16,2,8",0,1,-1,-1,-1
3,0,3,1,5,1.95346e-05,12,2,"8,1,8,2,8",1,1,1,1,1
