0,1,2,3,4,5,6,7,8,1h_min,2h_min,3h_min,4h_min,5h_min
3,5,4,2,4,0.000148076,0,2,"8,32,16,4,6",0,0,-1,-1,-1
3,4,4,1,4,7.05826e-05,1,2,"8,16,16,2,6",0,0,-1,-1,-1
3,3,4,1,5,3.74693e-05,2,2,"8,8,16,2,8",0,0,-1,-1,-1
3,2,4,1,6,2.44395e-05,3,2,"8,4,16,2,12",0,0,-1,-1,-1
3,1,4,1,7,1.84037e-05,4,2,"8,2,16,2,16",0,0,-1,-1,-1
3,1,3,1,8,1.45743e-05,5,2,"8,2,8,2,24",0,1,-1,-1,-1
3,1,3,1,9,1.44266e-05,6,2,"8,2,8,2,32",0,0,-1,-1,-1
3,1,3,1,10,1.38502e-05,7,2,"8,2,8,2,48",0,0,-1,-1,-1
3,1,4,1,11,1.29994e-05,8,2,"8,2,16,2,64",0,1,-1,-1,-1
3,1,4,1,12,1.26014e-05,9,2,"8,2,16,2,96",0,1,-1,-1,-1
3,1,4,1,13,1.21665e-05,10,2,"8,2,16,2,128",1,1,1,1,1
