0,1,2,3,4,5,6,7,8,1h_min,2h_min,3h_min,4h_min,5h_min
7,2,1,16,5,0.141002,0,2,"128,4,2,384,8",0,0,-1,-1,-1
7,1,0,16,5,0.03365,1,2,"128,2,1,384,8",0,0,-1,-1,-1
7,0,0,15,5,0.00452218,2,2,"128,1,1,256,8",0,0,-1,-1,-1
6,0,0,14,5,0.000823208,3,2,"64,1,1,192,8",0,0,-1,-1,-1
6,0,0,13,5,0.000641635,4,2,"64,1,1,128,8",0,0,-1,-1,-1
6,0,0,12,6,0.000447546,5,2,"64,1,1,96,12",0,0,-1,-1,-1
5,0,0,11,6,0.000348958,6,2,"32,1,1,64,12",0,0,-1,-1,-1
5,0,0,10,7,0.000321742,7,2,"32,1,1,48,16",0,0,-1,-1,-1
5,0,0,9,6,0.000293605,8,2,"32,1,1,32,12",1,1,1,1,1
