0,1,2,3,4,5,6,7,8,1h_min,2h_min,3h_min,4h_min,5h_min
1,8,7,6,3,0.0921287,0,2,"2,256,16,12,4",0,0,-1,-1,-1
1,7,7,5,3,0.0296915,1,2,"2,128,16,8,4",0,0,-1,-1,-1
1,6,7,4,3,0.00282107,2,2,"2,64,16,6,4",0,0,-1,-1,-1
1,5,7,3,3,0.000708781,3,2,"2,32,16,4,4",0,0,-1,-1,-1
1,4,7,3,4,0.000378972,4,2,"2,16,16,4,6",0,0,-1,-1,-1
1,3,7,3,5,0.00026552,5,2,"2,8,16,4,8",0,0,-1,-1,-1
1,3,7,3,6,0.000234018,6,2,"2,8,16,4,12",0,0,-1,-1,-1
2,3,7,3,7,0.000219036,7,2,"4,8,16,4,16",0,0,-1,-1,-1
2,3,8,3,8,0.000210633,8,2,"4,8,24,4,24",0,0,-1,-1,-1
2,3,8,3,9,0.000204184,9,2,"4,8,24,4,32",1,1,1,1,1
