0,1,2,3,4,5,6,7,8,1h_min,2h_min,3h_min,4h_min,5h_min
1,4,10,3,3,0.000509693,0,2,"2,16,48,4,4",0,0,-1,-1,-1
1,3,10,3,4,0.000335031,1,2,"2,8,48,4,6",0,0,-1,-1,-1
1,3,10,3,5,0.000281611,2,2,"2,8,48,4,8",0,0,-1,-1,-1
1,3,9,3,6,0.000271596,3,2,"2,8,32,4,12",0,0,-1,-1,-1
2,3,8,3,6,0.000224768,4,2,"4,8,24,4,12",0,0,-1,-1,-1
2,3,8,3,7,0.000219342,5,2,"4,8,24,4,16",0,0,-1,-1,-1
2,3,8,3,8,0.000210043,6,2,"4,8,24,4,24",0,0,-1,-1,-1
2,3,8,3,9,0.000205792,7,2,"4,8,24,4,32",1,1,0,-1,-1
2,3,7,4,10,0.000204323,8,2,"4,8,16,6,48",1,0,-1,-1,-1
3,2,7,4,10,0.000204168,9,2,"8,4,16,6,48",1,1,1,1,1
