0,1,2,3,4,5,6,7,8,1h_min,2h_min,3h_min,4h_min,5h_min
0,5,10,7,1,0.00890374,0,2,"1,32,48,16,2",0,0,-1,-1,-1
1,4,10,7,1,0.00238689,1,2,"2,16,48,16,2",0,0,-1,-1,-1
1,3,10,7,2,0.000959738,2,2,"2,8,48,16,3",0,0,-1,-1,-1
1,2,8,7,2,0.000680421,3,2,"2,4,24,16,3",0,0,-1,-1,-1
1,2,7,6,2,0.000543432,4,2,"2,4,16,12,3",0,0,-1,-1,-1
1,2,7,5,3,0.000416881,5,2,"2,4,16,8,4",0,0,-1,-1,-1
2,2,7,5,4,0.000325204,6,2,"4,4,16,8,6",0,0,-1,-1,-1
3,2,7,4,4,0.00030163,7,2,"8,4,16,6,6",0,0,-1,-1,-1
3,2,7,4,5,0.000249727,8,2,"8,4,16,6,8",1,0,-1,-1,-1
2,2,7,3,5,0.000237537,9,2,"4,4,16,4,8",1,1,0,-1,-1
2,3,8,3,6,0.000226746,10,2,"4,8,24,4,12",0,0,-1,-1,-1
2,3,8,3,7,0.000218303,11,2,"4,8,24,4,16",0,0,-1,-1,-1
2,3,8,3,8,0.000209917,12,2,"4,8,24,4,24",0,0,-1,-1,-1
2,3,8,3,9,0.000204541,13,2,"4,8,24,4,32",1,1,0,-1,-1
2,3,7,4,10,0.00020377,14,2,"4,8,16,6,48",1,1,1,1,1
