index,exe_time,tile_sizes,mark,age
0,0.0847414,"16,32,3,64,4",2,0
1,0.0796495,"16,32,3,64,3",2,0
2,0.0508493,"16,32,3,64,6",2,0
3,0.0466157,"16,32,2,64,4",2,0
4,0.0551277,"16,32,4,64,4",2,0
5,0.0444524,"16,16,3,64,4",2,0
6,0.0565921,"16,32,2,64,3",2,0
7,0.0454623,"16,32,2,64,6",2,0
8,0.0676203,"16,32,4,64,3",2,0
9,0.0473189,"16,32,4,64,6",2,0
10,0.0383269,"16,32,2,48,4",2,0
11,0.0484279,"16,32,4,48,4",2,0
12,0.0719131,"16,32,2,96,4",2,0
13,0.139159,"16,32,4,96,4",2,0
14,0.0469983,"8,32,4,64,4",2,0
15,0.0398398,"16,16,3,64,3",2,0
16,0.0365662,"16,16,3,64,6",2,0
17,0.0463312,"16,16,2,64,4",2,0
18,0.0398292,"16,16,4,64,4",2,0
19,0.0365662,"16,16,3,64,6",2,1
20,0.0440741,"16,16,3,64,4",2,1
21,0.0420173,"16,16,3,64,8",2,1
22,0.0486534,"16,16,2,64,6",2,1
23,0.0473199,"16,16,4,64,6",2,1
24,0.0392324,"32,16,3,64,6",2,1
25,0.015426,"16,8,3,64,6",2,1
26,0.0501785,"16,32,3,64,6",2,1
27,0.046195,"16,16,2,64,4",2,1
28,0.0261466,"16,16,2,64,8",2,1
29,0.0396814,"16,16,4,64,4",2,1
30,0.0486046,"16,16,4,64,8",2,1
31,0.0235141,"16,16,2,48,6",2,1
32,0.0225363,"16,16,4,48,6",2,1
33,0.0399391,"16,16,2,96,6",2,1
34,0.0399013,"16,16,4,96,6",2,1
35,0.0402174,"32,16,3,64,4",2,1
36,0.0399063,"32,16,3,64,8",2,1
37,0.0456741,"8,16,4,64,6",2,1
38,0.0338221,"32,16,2,64,6",2,1
39,0.0428416,"32,16,4,64,6",2,1
40,0.0315802,"16,8,3,64,4",2,1
41,0.0144512,"16,8,3,64,8",2,1
42,0.0502273,"16,32,3,64,8",2,1
43,0.0130577,"16,8,2,64,6",2,1
44,0.0137161,"16,8,4,64,6",2,1
45,0.0451726,"16,32,2,64,6",2,1
46,0.047572,"16,32,4,64,6",2,1
47,0.0174857,"32,8,3,64,6",2,1
