0,1,2,3,4,5,6,7,8,1h_min,2h_min,3h_min,4h_min,5h_min
4,4,9,6,4,0.023927,0,2,"16,16,32,12,6",0,0,-1,-1,-1
3,3,9,6,4,0.00074204,1,2,"8,8,32,12,6",0,0,-1,-1,-1
2,2,9,6,4,0.000423245,2,2,"4,4,32,12,6",0,0,-1,-1,-1
1,2,9,6,5,0.000368063,3,2,"2,4,32,12,8",0,0,-1,-1,-1
1,2,9,6,6,0.000336449,4,2,"2,4,32,12,12",1,0,-1,-1,-1
2,2,9,6,7,0.000316912,5,2,"4,4,32,12,16",1,0,-1,-1,-1
2,3,9,5,7,0.000311053,6,2,"4,8,32,8,16",0,0,-1,-1,-1
2,3,9,4,8,0.000239984,7,2,"4,8,32,6,24",1,0,-1,-1,-1
2,3,9,3,9,0.000215401,8,2,"4,8,32,4,32",0,0,-1,-1,-1
2,3,8,3,9,0.000204414,9,2,"4,8,24,4,32",1,1,0,-1,-1
2,3,7,4,10,0.000203277,10,2,"4,8,16,6,48",1,1,1,1,1
