0,1,2,3,4,5,6,7,8,1h_min,2h_min,3h_min,4h_min,5h_min
2,7,5,9,7,0.0760139,0,2,"4,128,8,32,16",0,0,-1,-1,-1
2,6,5,8,7,0.0303903,1,2,"4,64,8,24,16",0,0,-1,-1,-1
2,5,5,7,7,0.0112613,2,2,"4,32,8,16,16",0,0,-1,-1,-1
2,4,5,6,7,0.000773093,3,2,"4,16,8,12,16",0,0,-1,-1,-1
2,3,5,5,7,0.000316275,4,2,"4,8,8,8,16",0,0,-1,-1,-1
3,3,5,4,7,0.000227874,5,2,"8,8,8,6,16",0,0,-1,-1,-1
3,3,5,4,8,0.000223724,6,2,"8,8,8,6,24",0,0,-1,-1,-1
3,3,5,4,9,0.000212041,7,2,"8,8,8,6,32",0,1,-1,-1,-1
3,3,5,4,10,0.000207231,8,2,"8,8,8,6,48",0,1,-1,-1,-1
3,3,5,4,11,0.000206663,9,2,"8,8,8,6,64",1,1,1,1,1
