0,1,2,3,4,5,6,7,8,1h_min,2h_min,3h_min,4h_min,5h_min
2,6,9,8,4,0.0615732,0,2,"4,64,32,24,6",0,0,-1,-1,-1
2,5,7,8,4,0.026232,1,2,"4,32,16,24,6",0,0,-1,-1,-1
2,4,7,7,4,0.00298442,2,2,"4,16,16,16,6",0,0,-1,-1,-1
2,3,7,6,4,0.00047386,3,2,"4,8,16,12,6",0,0,-1,-1,-1
2,2,7,5,4,0.000324602,4,2,"4,4,16,8,6",0,0,-1,-1,-1
3,2,7,4,4,0.000302522,5,2,"8,4,16,6,6",0,0,-1,-1,-1
3,2,7,4,5,0.000252777,6,2,"8,4,16,6,8",1,0,-1,-1,-1
2,2,7,3,5,0.000239148,7,2,"4,4,16,4,8",1,1,0,-1,-1
2,3,8,3,6,0.000225268,8,2,"4,8,24,4,12",0,0,-1,-1,-1
2,3,8,3,7,0.000219498,9,2,"4,8,24,4,16",0,0,-1,-1,-1
3,3,7,3,7,0.000212492,10,2,"8,8,16,4,16",1,0,-1,-1,-1
3,2,7,3,8,0.000211311,11,2,"8,4,16,4,24",1,1,0,-1,-1
2,3,7,3,9,0.00020793,12,2,"4,8,16,4,32",0,0,-1,-1,-1
2,3,7,4,10,0.000204812,13,2,"4,8,16,6,48",1,1,1,1,1
