index,exe_time,tile_sizes,mark,age
0,0.0921287,"2,256,16,12,4",2,0
1,0.0846307,"2,256,16,12,3",2,0
2,0.093209,"2,256,16,12,6",2,0
3,0.072487,"2,256,16,8,4",2,0
4,0.106603,"2,256,16,16,4",2,0
5,0.0436334,"2,128,16,12,4",2,0
6,0.0711352,"2,256,16,8,3",2,0
7,0.0761548,"2,256,16,8,6",2,0
8,0.104434,"2,256,16,16,3",2,0
9,0.106341,"2,256,16,16,6",2,0
10,0.0438711,"2,128,16,12,3",2,0
11,0.0468456,"2,128,16,12,6",2,0
12,0.0296915,"2,128,16,8,4",2,0
13,0.0537451,"2,128,16,16,4",2,0
14,0.0296915,"2,128,16,8,4",2,1
15,0.0144509,"2,128,16,8,3",2,1
16,0.0293457,"2,128,16,8,6",2,1
17,0.0365265,"2,128,24,8,4",2,1
18,0.0167104,"2,128,16,6,4",2,1
19,0.0438068,"2,128,16,12,4",2,1
20,0.0318035,"4,128,16,8,4",2,1
21,0.00959226,"2,64,16,8,4",2,1
22,0.0724036,"2,256,16,8,4",2,1
23,0.014528,"2,128,24,8,3",2,1
24,0.0299945,"2,128,24,8,6",2,1
25,0.0252123,"2,128,16,6,3",2,1
26,0.0249508,"2,128,16,6,6",2,1
27,0.0440108,"2,128,16,12,3",2,1
28,0.0467035,"2,128,16,12,6",2,1
29,0.0155776,"4,128,16,8,3",2,1
30,0.0316767,"4,128,16,8,6",2,1
31,0.0309918,"4,128,12,8,4",2,1
32,0.0415457,"4,128,24,8,4",2,1
33,0.0173153,"4,128,16,6,4",2,1
34,0.0465486,"4,128,16,12,4",2,1
35,0.00659822,"2,64,16,8,3",2,1
36,0.0149858,"2,64,16,8,6",2,1
37,0.0710614,"2,256,16,8,3",2,1
38,0.075996,"2,256,16,8,6",2,1
39,0.01842,"2,64,24,8,4",2,1
40,0.0763097,"2,256,24,8,4",2,1
41,0.00282107,"2,64,16,6,4",2,1
42,0.0220647,"2,64,16,12,4",2,1
43,0.0456353,"2,256,16,6,4",2,1
44,0.0104484,"4,64,16,8,4",2,1
45,0.00282107,"2,64,16,6,4",2,2
46,0.00632465,"2,64,16,6,3",2,2
47,0.00271945,"2,64,16,6,6",2,2
48,0.0017471,"2,64,16,4,4",2,2
49,0.00959656,"2,64,16,8,4",2,2
50,0.0053395,"4,64,16,6,4",2,2
51,0.000766228,"2,32,16,6,4",2,2
52,0.0166856,"2,128,16,6,4",2,2
53,0.0019685,"2,64,16,4,3",2,2
54,0.00155657,"2,64,16,4,6",2,2
55,0.00661504,"2,64,16,8,3",2,2
56,0.0149631,"2,64,16,8,6",2,2
57,0.00723896,"4,64,16,6,3",2,2
58,0.00706729,"4,64,16,6,6",2,2
59,0.0019572,"4,64,16,4,4",2,2
60,0.0104617,"4,64,16,8,4",2,2
61,0.000906355,"2,32,16,6,3",2,2
62,0.00071934,"2,32,16,6,6",2,2
63,0.0251982,"2,128,16,6,3",2,2
64,0.0249419,"2,128,16,6,6",2,2
65,0.000708781,"2,32,16,4,4",2,2
66,0.00159067,"2,32,16,8,4",2,2
67,0.0224075,"2,128,16,4,4",2,2
68,0.000793361,"4,32,16,6,4",2,2
69,0.0175039,"4,128,16,6,4",2,2
70,0.000708781,"2,32,16,4,4",2,3
71,0.000687595,"2,32,16,4,3",2,3
72,0.000526562,"2,32,16,4,6",2,3
73,0.000726502,"2,32,24,4,4",2,3
74,0.000567853,"2,32,16,3,4",2,3
75,0.000771953,"2,32,16,6,4",2,3
76,0.000728967,"4,32,16,4,4",2,3
77,0.000452799,"2,16,16,4,4",2,3
78,0.00176418,"2,64,16,4,4",2,3
79,0.000781915,"2,32,24,4,3",2,3
80,0.000530844,"2,32,24,4,6",2,3
81,0.000659079,"2,32,16,3,3",2,3
82,0.000466453,"2,32,16,3,6",2,3
83,0.000911997,"2,32,16,6,3",2,3
84,0.000723882,"2,32,16,6,6",2,3
85,0.000893439,"4,32,16,4,3",2,3
86,0.00055464,"4,32,16,4,6",2,3
87,0.000814236,"4,32,12,4,4",2,3
88,0.000775876,"4,32,24,4,4",2,3
89,0.000576516,"4,32,16,3,4",2,3
90,0.000792145,"4,32,16,6,4",2,3
91,0.000514864,"2,16,16,4,3",2,3
92,0.000378972,"2,16,16,4,6",2,3
93,0.00198397,"2,64,16,4,3",2,3
94,0.0015676,"2,64,16,4,6",2,3
95,0.000466596,"2,16,24,4,4",2,3
96,0.00185377,"2,64,24,4,4",2,3
97,0.000430647,"2,16,16,3,4",2,3
98,0.00058154,"2,16,16,6,4",2,3
99,0.000828693,"2,64,16,3,4",2,3
100,0.000453684,"4,16,16,4,4",2,3
101,0.00197402,"4,64,16,4,4",2,3
102,0.000378972,"2,16,16,4,6",2,4
103,0.00045113,"2,16,16,4,4",2,4
104,0.000330342,"2,16,16,4,8",2,4
105,0.000401641,"2,16,24,4,6",2,4
106,0.000354925,"2,16,16,3,6",2,4
107,0.000492139,"2,16,16,6,6",2,4
108,0.000388448,"4,16,16,4,6",2,4
109,0.000312798,"2,8,16,4,6",2,4
110,0.000530444,"2,32,16,4,6",2,4
111,0.000468417,"2,16,24,4,4",2,4
112,0.000333836,"2,16,24,4,8",2,4
113,0.000432972,"2,16,16,3,4",2,4
114,0.000317136,"2,16,16,3,8",2,4
115,0.000584513,"2,16,16,6,4",2,4
116,0.000442484,"2,16,16,6,8",2,4
117,0.00045549,"4,16,16,4,4",2,4
118,0.000331326,"4,16,16,4,8",2,4
119,0.000391935,"4,16,12,4,6",2,4
120,0.000428404,"4,16,24,4,6",2,4
121,0.000379981,"4,16,16,3,6",2,4
122,0.000465585,"4,16,16,6,6",2,4
123,0.000373737,"2,8,16,4,4",2,4
124,0.00026552,"2,8,16,4,8",2,4
125,0.000717876,"2,32,16,4,8",2,4
126,0.000317457,"2,8,24,4,6",2,4
127,0.000533494,"2,32,24,4,6",2,4
128,0.000313548,"2,8,16,3,6",2,4
129,0.00035396,"2,8,16,6,6",2,4
130,0.000469111,"2,32,16,3,6",2,4
131,0.000727994,"2,32,16,6,6",2,4
132,0.000317111,"4,8,16,4,6",2,4
133,0.000556722,"4,32,16,4,6",2,4
134,0.00026552,"2,8,16,4,8",2,5
135,0.000310979,"2,8,16,4,6",2,5
136,0.000234018,"2,8,16,4,12",2,5
137,0.000309376,"2,8,24,4,8",2,5
138,0.000262159,"2,8,16,3,8",2,5
139,0.00030275,"2,8,16,6,8",2,5
140,0.000270332,"4,8,16,4,8",2,5
141,0.000281942,"2,4,16,4,8",2,5
142,0.000333811,"2,16,16,4,8",2,5
143,0.000317205,"2,8,24,4,6",2,5
144,0.000263492,"2,8,24,4,12",2,5
145,0.000313323,"2,8,16,3,6",2,5
146,0.000246469,"2,8,16,3,12",2,5
147,0.000356117,"2,8,16,6,6",2,5
148,0.000290301,"2,8,16,6,12",2,5
149,0.000317183,"4,8,16,4,6",2,5
150,0.000238585,"4,8,16,4,12",2,5
151,0.000324725,"4,8,12,4,8",2,5
152,0.000303018,"4,8,24,4,8",2,5
153,0.000281544,"4,8,16,3,8",2,5
154,0.000298091,"4,8,16,6,8",2,5
155,0.000305022,"2,4,16,4,6",2,5
156,0.000314399,"2,4,16,4,12",2,5
157,0.000304578,"2,16,16,4,12",2,5
158,0.00034912,"2,4,24,4,8",2,5
159,0.000337906,"2,16,24,4,8",2,5
160,0.00037563,"2,4,16,3,8",2,5
161,0.000297463,"2,4,16,6,8",2,5
162,0.000320549,"2,16,16,3,8",2,5
163,0.000443756,"2,16,16,6,8",2,5
164,0.000234124,"4,4,16,4,8",2,5
165,0.000334859,"4,16,16,4,8",2,5
166,0.000234018,"2,8,16,4,12",2,6
167,0.00022986,"2,8,16,4,16",2,6
168,0.000261575,"2,8,24,4,12",2,6
169,0.000247179,"2,8,16,3,12",2,6
170,0.00029159,"2,8,16,6,12",2,6
171,0.000239254,"4,8,16,4,12",2,6
172,0.000316714,"2,4,16,4,12",2,6
173,0.000304195,"2,16,16,4,12",2,6
174,0.000310304,"2,8,24,4,8",2,6
175,0.000269884,"2,8,24,4,16",2,6
176,0.000263672,"2,8,16,3,8",2,6
177,0.000243312,"2,8,16,3,16",2,6
178,0.000304926,"2,8,16,6,8",2,6
179,0.000299203,"2,8,16,6,16",2,6
180,0.000274661,"4,8,16,4,8",2,6
181,0.000219036,"4,8,16,4,16",2,6
182,0.000288226,"4,8,12,4,12",2,6
183,0.000223525,"4,8,24,4,12",2,6
184,0.000286482,"4,8,16,3,12",2,6
185,0.00025377,"4,8,16,6,12",2,6
186,0.000285307,"2,4,16,4,8",2,6
187,0.000308754,"2,4,16,4,16",2,6
188,0.000333551,"2,16,16,4,8",2,6
189,0.000263611,"2,16,16,4,16",2,6
190,0.000343989,"2,4,24,4,12",2,6
191,0.0002907,"2,16,24,4,12",2,6
192,0.000385763,"2,4,16,3,12",2,6
193,0.000314814,"2,4,16,6,12",2,6
194,0.000276878,"2,16,16,3,12",2,6
195,0.000425005,"2,16,16,6,12",2,6
196,0.000243517,"4,4,16,4,12",2,6
197,0.00030075,"4,16,16,4,12",2,6
198,0.000219036,"4,8,16,4,16",2,7
199,0.00023736,"4,8,16,4,12",2,7
200,0.000213555,"4,8,16,4,24",2,7
201,0.000247789,"4,8,12,4,16",2,7
202,0.000218817,"4,8,24,4,16",2,7
203,0.000247756,"4,8,16,3,16",2,7
204,0.000227062,"4,8,16,6,16",2,7
205,0.00023183,"2,8,16,4,16",2,7
206,0.000211307,"8,8,16,4,16",2,7
207,0.000231003,"4,4,16,4,16",2,7
208,0.000261007,"4,16,16,4,16",2,7
209,0.000289178,"4,8,12,4,12",2,7
210,0.000239691,"4,8,12,4,24",2,7
211,0.00022401,"4,8,24,4,12",2,7
212,0.000210633,"4,8,24,4,24",2,7
213,0.000285197,"4,8,16,3,12",2,7
214,0.000231965,"4,8,16,3,24",2,7
215,0.00025398,"4,8,16,6,12",2,7
216,0.000219627,"4,8,16,6,24",2,7
217,0.000242915,"2,8,16,4,24",2,7
218,0.000244268,"8,8,16,4,12",2,7
219,0.00022367,"8,8,16,4,24",2,7
220,0.000269116,"2,8,24,4,16",2,7
221,0.000236998,"8,8,12,4,16",2,7
222,0.000265405,"8,8,24,4,16",2,7
223,0.000244887,"2,8,16,3,16",2,7
224,0.000303344,"2,8,16,6,16",2,7
225,0.000223209,"8,8,16,3,16",2,7
226,0.000258777,"8,8,16,6,16",2,7
227,0.000243751,"4,4,16,4,12",2,7
228,0.000225558,"4,4,16,4,24",2,7
229,0.000302251,"4,16,16,4,12",2,7
230,0.000255178,"4,16,16,4,24",2,7
231,0.000324236,"4,4,12,4,16",2,7
232,0.000246831,"4,4,24,4,16",2,7
233,0.000282018,"4,16,12,4,16",2,7
234,0.000273258,"4,16,24,4,16",2,7
235,0.000318559,"4,4,16,3,16",2,7
236,0.000270821,"4,4,16,6,16",2,7
237,0.0002356,"4,16,16,3,16",2,7
238,0.000348347,"4,16,16,6,16",2,7
239,0.000307473,"2,4,16,4,16",2,7
240,0.000212802,"8,4,16,4,16",2,7
241,0.000268471,"2,16,16,4,16",2,7
242,0.000281825,"8,16,16,4,16",2,7
243,0.000210633,"4,8,24,4,24",2,8
244,0.000216773,"4,8,24,4,16",2,8
245,0.000204184,"4,8,24,4,32",2,8
246,0.000212949,"4,8,16,4,24",2,8
247,0.000243104,"4,8,32,4,24",2,8
248,0.000271263,"2,8,24,4,24",2,8
249,0.000244678,"8,8,24,4,24",2,8
250,0.000241222,"4,4,24,4,24",2,8
251,0.000254811,"4,16,24,4,24",2,8
252,0.000207408,"4,8,16,4,32",2,8
253,0.000263684,"4,8,32,4,16",2,8
254,0.000214817,"4,8,32,4,32",2,8
255,0.000233711,"4,8,16,3,24",2,8
256,0.000224861,"4,8,32,3,24",2,8
257,0.000218735,"4,8,16,6,24",2,8
258,0.000240969,"4,8,32,6,24",2,8
259,0.000270992,"2,8,24,4,16",2,8
260,0.000261934,"2,8,24,4,32",2,8
261,0.000267297,"8,8,24,4,16",2,8
262,0.000231451,"8,8,24,4,32",2,8
263,0.000241401,"2,8,16,4,24",2,8
264,0.000239845,"2,8,32,4,24",2,8
265,0.000224232,"8,8,16,4,24",2,8
266,0.000253821,"8,8,32,4,24",2,8
267,0.000248456,"4,4,24,4,16",2,8
268,0.000251203,"4,4,24,4,32",2,8
269,0.000273326,"4,16,24,4,16",2,8
270,0.000405749,"4,16,24,4,32",2,8
271,0.000226633,"4,4,16,4,24",2,8
272,0.000244428,"4,4,32,4,24",2,8
273,0.000260432,"4,16,16,4,24",2,8
274,0.000263556,"4,16,32,4,24",2,8
275,0.000362361,"2,4,24,4,24",2,8
276,0.000225219,"8,4,24,4,24",2,8
277,0.000293395,"2,16,24,4,24",2,8
278,0.000393613,"8,16,24,4,24",2,8
279,0.000204184,"4,8,24,4,32",2,9
280,0.000206024,"4,8,24,4,48",2,9
281,0.000204424,"4,8,16,4,32",2,9
282,0.000214315,"4,8,32,4,32",2,9
283,0.000261833,"2,8,24,4,32",2,9
284,0.000232897,"8,8,24,4,32",2,9
285,0.000248418,"4,4,24,4,32",2,9
286,0.000402647,"4,16,24,4,32",2,9
287,0.000214992,"4,8,16,4,24",2,9
288,0.00021032,"4,8,16,4,48",2,9
289,0.000242815,"4,8,32,4,24",2,9
290,0.000225667,"4,8,32,4,48",2,9
291,0.000216454,"4,8,16,3,32",2,9
292,0.000212923,"4,8,32,3,32",2,9
293,0.000212292,"4,8,16,6,32",2,9
294,0.00025571,"4,8,32,6,32",2,9
295,0.000269909,"2,8,24,4,24",2,9
296,0.000259612,"2,8,24,4,48",2,9
297,0.000249477,"8,8,24,4,24",2,9
298,0.00024466,"8,8,24,4,48",2,9
299,0.000232314,"2,8,16,4,32",2,9
300,0.000237016,"2,8,32,4,32",2,9
301,0.000218602,"8,8,16,4,32",2,9
302,0.000244393,"8,8,32,4,32",2,9
303,0.000246948,"4,4,24,4,24",2,9
304,0.000254927,"4,4,24,4,48",2,9
305,0.000255395,"4,16,24,4,24",2,9
306,0.000253694,"4,16,24,4,48",2,9
307,0.000221541,"4,4,16,4,32",2,9
308,0.000244356,"4,4,32,4,32",2,9
309,0.000238036,"4,16,16,4,32",2,9
310,0.000254731,"4,16,32,4,32",2,9
311,0.000360689,"2,4,24,4,32",2,9
312,0.000218604,"8,4,24,4,32",2,9
313,0.000383022,"2,16,24,4,32",2,9
314,0.000630574,"8,16,24,4,32",2,9
315,0.000204184,"4,8,24,4,32",3,9
316,0.000232204,"4,8,16,3,24",3,9
317,0.000220291,"4,8,16,3,48",3,9
318,0.000223884,"4,8,32,3,24",3,9
319,0.000215884,"4,8,32,3,48",3,9
320,0.000218434,"4,8,16,6,24",3,9
