0,1,2,3,4,5,6,7,8,1h_min,2h_min,3h_min,4h_min,5h_min
2,6,5,12,1,0.141897,0,2,"4,64,8,96,2",0,0,-1,-1,-1
2,5,5,12,2,0.0752881,1,2,"4,32,8,96,3",0,0,-1,-1,-1
2,4,5,12,3,0.0329969,2,2,"4,16,8,96,4",0,0,-1,-1,-1
2,3,5,12,3,0.0204827,3,2,"4,8,8,96,4",0,0,-1,-1,-1
2,2,5,12,3,0.0101154,4,2,"4,4,8,96,4",0,0,-1,-1,-1
3,1,5,12,3,0.00296759,5,2,"8,2,8,96,4",1,1,-1,-1,-1
3,1,3,11,3,0.00140543,6,2,"8,2,4,64,4",0,0,-1,-1,-1
3,1,3,10,4,0.000608551,7,2,"8,2,4,48,6",1,1,-1,-1,-1
4,1,1,10,4,0.000517871,8,2,"16,2,2,48,6",0,0,-1,-1,-1
4,0,1,10,5,0.000372002,9,2,"16,1,2,48,8",0,0,-1,-1,-1
5,0,1,10,6,0.000309737,10,2,"32,1,2,48,12",1,0,-1,-1,-1
5,0,0,9,6,0.000291679,11,2,"32,1,1,32,12",1,1,1,1,1
