index,exe_time,tile_sizes,mark,age
0,0.0311203,"16,8,32,24,2",2,0
1,0.0258436,"16,8,32,24,1",2,0
2,0.0272587,"16,8,32,24,3",2,0
3,0.00179344,"16,8,16,24,2",2,0
4,0.00193431,"8,8,32,24,2",2,0
5,0.0467327,"32,8,32,24,2",2,0
6,0.00212087,"16,4,32,24,2",2,0
7,0.0594356,"16,16,32,24,2",2,0
8,0.00229277,"16,8,16,24,1",2,0
9,0.0015661,"16,8,16,24,3",2,0
10,0.00158143,"16,8,16,16,2",2,0
11,0.00226877,"8,8,32,24,1",2,0
12,0.00150504,"8,8,32,24,3",2,0
13,0.0441406,"32,8,32,24,1",2,0
14,0.0482734,"32,8,32,24,3",2,0
15,0.00123721,"8,8,16,24,2",2,0
16,0.0272003,"32,8,16,24,2",2,0
17,0.00275788,"16,4,32,24,1",2,0
18,0.00193229,"16,4,32,24,3",2,0
19,0.0525376,"16,16,32,24,1",2,0
20,0.0534421,"16,16,32,24,3",2,0
21,0.00147259,"16,4,16,24,2",2,0
22,0.0315499,"16,16,16,24,2",2,0
23,0.0013977,"8,4,32,24,2",2,0
24,0.0166903,"32,4,32,24,2",2,0
25,0.0337084,"8,16,32,24,2",2,0
26,0.0993188,"32,16,32,24,2",2,0
27,0.00123721,"8,8,16,24,2",2,1
28,0.00172838,"8,8,16,24,1",2,1
29,0.00106003,"8,8,16,24,3",2,1
30,0.00193608,"8,8,32,24,2",2,1
31,0.00118373,"8,8,16,16,2",2,1
32,0.00121037,"4,8,16,24,2",2,1
33,0.00179655,"16,8,16,24,2",2,1
34,0.000994618,"8,4,16,24,2",2,1
35,0.0262289,"8,16,16,24,2",2,1
36,0.00226841,"8,8,32,24,1",2,1
37,0.00150494,"8,8,32,24,3",2,1
38,0.0016963,"8,8,16,16,1",2,1
39,0.000937296,"8,8,16,16,3",2,1
40,0.00163844,"4,8,16,24,1",2,1
41,0.00097243,"4,8,16,24,3",2,1
42,0.00229335,"16,8,16,24,1",2,1
43,0.0015657,"16,8,16,24,3",2,1
44,0.00137023,"4,8,32,24,2",2,1
45,0.00103816,"4,8,16,16,2",2,1
46,0.00158125,"16,8,16,16,2",2,1
47,0.00157895,"8,4,16,24,1",2,1
48,0.000824297,"8,4,16,24,3",2,1
49,0.00966479,"8,16,16,24,1",2,1
50,0.0214111,"8,16,16,24,3",2,1
51,0.00139627,"8,4,32,24,2",2,1
52,0.0336487,"8,16,32,24,2",2,1
53,0.00105567,"8,4,16,16,2",2,1
54,0.00275135,"8,16,16,16,2",2,1
55,0.000897368,"4,4,16,24,2",2,1
56,0.00147234,"16,4,16,24,2",2,1
57,0.00621182,"4,16,16,24,2",2,1
58,0.0315578,"16,16,16,24,2",2,1
59,0.000824297,"8,4,16,24,3",2,2
60,0.000995771,"8,4,16,24,2",2,2
61,0.000730686,"8,4,16,24,4",2,2
62,0.00123321,"8,4,32,24,3",2,2
63,0.000869325,"8,4,16,16,3",2,2
64,0.000732563,"4,4,16,24,3",2,2
65,0.00123566,"16,4,16,24,3",2,2
66,0.000751965,"8,2,16,24,3",2,2
67,0.00106125,"8,8,16,24,3",2,2
68,0.00139589,"8,4,32,24,2",2,2
69,0.00110903,"8,4,32,24,4",2,2
70,0.00105505,"8,4,16,16,2",2,2
71,0.000771785,"8,4,16,16,4",2,2
72,0.000897354,"4,4,16,24,2",2,2
73,0.000920407,"4,4,16,24,4",2,2
74,0.00147513,"16,4,16,24,2",2,2
75,0.001093,"16,4,16,24,4",2,2
76,0.000835132,"4,4,32,24,3",2,2
77,0.00193321,"16,4,32,24,3",2,2
78,0.000695152,"4,4,16,16,3",2,2
79,0.0013463,"16,4,16,16,3",2,2
80,0.000943912,"8,2,16,24,2",2,2
81,0.000668772,"8,2,16,24,4",2,2
82,0.00104041,"8,8,16,24,4",2,2
83,0.00119743,"8,2,32,24,3",2,2
84,0.00150561,"8,8,32,24,3",2,2
85,0.000968431,"8,2,16,16,3",2,2
86,0.000936967,"8,8,16,16,3",2,2
87,0.000659994,"4,2,16,24,3",2,2
88,0.00112486,"16,2,16,24,3",2,2
89,0.000972567,"4,8,16,24,3",2,2
90,0.00156721,"16,8,16,24,3",2,2
91,0.000659994,"4,2,16,24,3",2,3
92,0.000809632,"4,2,16,24,2",2,3
93,0.000589928,"4,2,16,24,4",2,3
94,0.000823903,"4,2,32,24,3",2,3
95,0.00081255,"4,2,16,16,3",2,3
96,0.000696147,"2,2,16,24,3",2,3
97,0.000756563,"8,2,16,24,3",2,3
98,0.000895871,"4,1,16,24,3",2,3
99,0.000736446,"4,4,16,24,3",2,3
100,0.000965676,"4,2,32,24,2",2,3
101,0.000735305,"4,2,32,24,4",2,3
102,0.000935287,"4,2,16,16,2",2,3
103,0.000777558,"4,2,16,16,4",2,3
104,0.000861094,"2,2,16,24,2",2,3
105,0.000661116,"2,2,16,24,4",2,3
106,0.000948588,"8,2,16,24,2",2,3
107,0.000673229,"8,2,16,24,4",2,3
108,0.000990102,"2,2,32,24,3",2,3
109,0.00120661,"8,2,32,24,3",2,3
110,0.000888593,"2,2,16,16,3",2,3
111,0.000976783,"8,2,16,16,3",2,3
112,0.000925643,"4,1,16,24,2",2,3
113,0.000896705,"4,1,16,24,4",2,3
114,0.000902257,"4,4,16,24,2",2,3
115,0.000926242,"4,4,16,24,4",2,3
116,0.00103494,"4,1,32,24,3",2,3
117,0.000841615,"4,4,32,24,3",2,3
118,0.00142643,"4,1,16,16,3",2,3
119,0.000699802,"4,4,16,16,3",2,3
120,0.00160898,"2,1,16,24,3",2,3
121,0.000947663,"8,1,16,24,3",2,3
122,0.00142935,"2,4,16,24,3",2,3
123,0.000589928,"4,2,16,24,4",2,4
124,0.000595939,"4,2,16,24,6",2,4
125,0.000731601,"4,2,32,24,4",2,4
126,0.000772427,"4,2,16,16,4",2,4
127,0.000659281,"2,2,16,24,4",2,4
128,0.000673505,"8,2,16,24,4",2,4
129,0.000896206,"4,1,16,24,4",2,4
130,0.000926043,"4,4,16,24,4",2,4
131,0.000823884,"4,2,32,24,3",2,4
132,0.000796309,"4,2,32,24,6",2,4
133,0.000812257,"4,2,16,16,3",2,4
134,0.000793953,"4,2,16,16,6",2,4
135,0.000696198,"2,2,16,24,3",2,4
136,0.000602248,"2,2,16,24,6",2,4
137,0.000757088,"8,2,16,24,3",2,4
138,0.000594636,"8,2,16,24,6",2,4
139,0.000741117,"2,2,32,24,4",2,4
140,0.00107906,"8,2,32,24,4",2,4
141,0.000852962,"2,2,16,16,4",2,4
142,0.000951255,"8,2,16,16,4",2,4
143,0.00089687,"4,1,16,24,3",2,4
