index,exe_time,tile_sizes,mark,age
0,0.00348717,"8,16,4,16,16",2,0
1,0.00316508,"8,16,4,16,12",2,0
2,0.00286559,"8,16,4,16,24",2,0
3,0.00286827,"8,16,6,16,16",2,0
4,0.000875545,"8,16,4,12,16",2,0
5,0.00692243,"8,16,4,24,16",2,0
6,0.0025342,"16,16,4,16,16",2,0
7,0.000431352,"8,8,4,16,16",2,0
8,0.0117115,"8,32,4,16,16",2,0
9,0.00294236,"8,16,6,16,12",2,0
10,0.00290692,"8,16,6,16,24",2,0
11,0.000959143,"8,16,4,12,12",2,0
12,0.00202105,"8,16,4,12,24",2,0
13,0.0070515,"8,16,4,24,12",2,0
14,0.00700489,"8,16,4,24,24",2,0
15,0.00250705,"16,16,4,16,12",2,0
16,0.00262743,"16,16,4,16,24",2,0
17,0.00334231,"16,16,3,16,16",2,0
18,0.00290488,"16,16,6,16,16",2,0
19,0.000868226,"16,16,4,12,16",2,0
20,0.0072431,"16,16,4,24,16",2,0
21,0.000490058,"8,8,4,16,12",2,0
22,0.000621468,"8,8,4,16,24",2,0
23,0.0117472,"8,32,4,16,12",2,0
24,0.0115077,"8,32,4,16,24",2,0
25,0.000734097,"8,8,6,16,16",2,0
26,0.0111141,"8,32,6,16,16",2,0
27,0.000398928,"8,8,4,12,16",2,0
28,0.000762125,"8,8,4,24,16",2,0
29,0.0069794,"8,32,4,12,16",2,0
30,0.0202145,"8,32,4,24,16",2,0
31,0.000442964,"16,8,4,16,16",2,0
32,0.0132463,"16,32,4,16,16",2,0
33,0.000398928,"8,8,4,12,16",2,1
34,0.000429525,"8,8,4,12,12",2,1
35,0.000330706,"8,8,4,12,24",2,1
36,0.000326633,"8,8,4,8,16",2,1
37,0.000427154,"8,8,4,16,16",2,1
38,0.000382944,"16,8,4,12,16",2,1
39,0.000268751,"8,4,4,12,16",2,1
40,0.000880959,"8,16,4,12,16",2,1
41,0.000315908,"8,8,4,8,12",2,1
42,0.000267298,"8,8,4,8,24",2,1
43,0.000490745,"8,8,4,16,12",2,1
44,0.000621377,"8,8,4,16,24",2,1
45,0.000545223,"16,8,4,12,12",2,1
46,0.00040306,"16,8,4,12,24",2,1
47,0.000462497,"16,8,2,12,16",2,1
48,0.000303028,"16,8,4,8,16",2,1
49,0.000444733,"16,8,4,16,16",2,1
50,0.000287532,"8,4,4,12,12",2,1
51,0.000276261,"8,4,4,12,24",2,1
