0,1,2,3,4,5,6,7,8,1h_min,2h_min,3h_min,4h_min,5h_min
0,8,9,3,5,0.0368265,0,2,"1,256,32,4,8",0,0,-1,-1,-1
0,7,9,2,5,0.0109186,1,2,"1,128,32,3,8",0,0,-1,-1,-1
0,6,9,1,5,0.000626244,2,2,"1,64,32,2,8",0,0,-1,-1,-1
0,5,9,0,5,0.000292906,3,2,"1,32,32,1,8",0,0,-1,-1,-1
0,4,9,1,5,0.000268487,4,2,"1,16,32,2,8",0,0,-1,-1,-1
1,3,9,1,5,0.00024449,5,2,"2,8,32,2,8",0,0,-1,-1,-1
2,3,9,1,6,0.000235851,6,2,"4,8,32,2,12",0,0,-1,-1,-1
2,3,9,1,7,0.00022173,7,2,"4,8,32,2,16",0,1,-1,-1,-1
2,3,9,1,8,0.000221174,8,2,"4,8,32,2,24",0,0,-1,-1,-1
2,3,9,2,9,0.000211509,9,2,"4,8,32,3,32",1,1,1,1,1
