0,1,2,3,4,5,6,7,8,1h_min,2h_min,3h_min,4h_min,5h_min
2,6,5,9,0,0.0517357,0,2,"4,64,8,32,1",0,0,-1,-1,-1
2,5,5,8,0,0.0214604,1,2,"4,32,8,24,1",0,0,-1,-1,-1
2,4,5,7,0,0.00249018,2,2,"4,16,8,16,1",0,0,-1,-1,-1
2,3,5,7,1,0.000938951,3,2,"4,8,8,16,2",0,0,-1,-1,-1
2,3,5,6,2,0.000642876,4,2,"4,8,8,12,3",0,0,-1,-1,-1
2,2,5,6,3,0.000442123,5,2,"4,4,8,12,4",0,0,-1,-1,-1
2,2,5,5,4,0.000322109,6,2,"4,4,8,8,6",0,0,-1,-1,-1
2,2,5,4,5,0.000270405,7,2,"4,4,8,6,8",0,0,-1,-1,-1
2,2,5,4,6,0.000237295,8,2,"4,4,8,6,12",1,0,-1,-1,-1
3,2,5,3,6,0.000210782,9,2,"8,4,8,4,12",1,1,1,1,1
