index,exe_time,tile_sizes,mark,age
0,0.000681647,"2,16,16,8,4",2,0
1,0.000783584,"2,16,16,8,3",2,0
2,0.000519207,"2,16,16,8,6",2,0
3,0.000638122,"2,16,24,8,4",2,0
4,0.000582054,"2,16,16,6,4",2,0
5,0.000977179,"2,16,16,12,4",2,0
6,0.000634404,"4,16,16,8,4",2,0
7,0.000476217,"2,8,16,8,4",2,0
8,0.00160294,"2,32,16,8,4",2,0
9,0.000710055,"2,16,24,8,3",2,0
10,0.000538793,"2,16,24,8,6",2,0
11,0.000622383,"2,16,16,6,3",2,0
12,0.00049506,"2,16,16,6,6",2,0
13,0.000938117,"2,16,16,12,3",2,0
14,0.00101267,"2,16,16,12,6",2,0
15,0.000705709,"4,16,16,8,3",2,0
16,0.000537799,"4,16,16,8,6",2,0
17,0.000634958,"4,16,12,8,4",2,0
18,0.000672791,"4,16,24,8,4",2,0
19,0.00057061,"4,16,16,6,4",2,0
20,0.0010456,"4,16,16,12,4",2,0
21,0.000530769,"2,8,16,8,3",2,0
22,0.000410616,"2,8,16,8,6",2,0
23,0.00155266,"2,32,16,8,3",2,0
24,0.00131397,"2,32,16,8,6",2,0
25,0.000485549,"2,8,24,8,4",2,0
26,0.00142392,"2,32,24,8,4",2,0
27,0.000416942,"2,8,16,6,4",2,0
28,0.000592623,"2,8,16,12,4",2,0
29,0.000776876,"2,32,16,6,4",2,0
30,0.00836257,"2,32,16,12,4",2,0
31,0.000460282,"4,8,16,8,4",2,0
32,0.00169564,"4,32,16,8,4",2,0
33,0.000410616,"2,8,16,8,6",2,1
34,0.000521611,"2,8,16,8,4",2,1
35,0.000352531,"2,8,16,8,8",2,1
36,0.00041094,"2,8,24,8,6",2,1
37,0.000353079,"2,8,16,6,6",2,1
38,0.000499887,"2,8,16,12,6",2,1
39,0.000395994,"4,8,16,8,6",2,1
40,0.000368217,"2,4,16,8,6",2,1
41,0.000524622,"2,16,16,8,6",2,1
