index,exe_time,tile_sizes,mark,age
0,0.0449729,"8,64,16,16,4",2,0
1,0.104944,"8,64,16,16,3",2,0
2,0.0366596,"8,64,16,16,6",2,0
3,0.0387053,"8,64,12,16,4",2,0
4,0.113961,"8,64,24,16,4",2,0
5,0.0341958,"8,64,16,12,4",2,0
6,0.0623304,"8,64,16,24,4",2,0
7,0.0351192,"4,64,16,16,4",2,0
8,0.0395722,"8,32,16,16,4",2,0
9,0.0397544,"8,64,12,16,3",2,0
10,0.0327129,"8,64,12,16,6",2,0
11,0.115325,"8,64,24,16,3",2,0
12,0.0472541,"8,64,24,16,6",2,0
13,0.0447015,"8,64,16,12,3",2,0
14,0.0279529,"8,64,16,12,6",2,0
15,0.0698166,"8,64,16,24,3",2,0
16,0.0541789,"8,64,16,24,6",2,0
17,0.0401072,"4,64,16,16,3",2,0
18,0.0336302,"4,64,16,16,6",2,0
19,0.0339699,"4,64,12,16,4",2,0
20,0.0383477,"4,64,24,16,4",2,0
21,0.0292414,"4,64,16,12,4",2,0
22,0.0473708,"4,64,16,24,4",2,0
23,0.0519714,"8,32,16,16,3",2,0
24,0.0205262,"8,32,16,16,6",2,0
25,0.0347204,"8,32,12,16,4",2,0
26,0.0396426,"8,32,24,16,4",2,0
27,0.00490681,"8,32,16,12,4",2,0
28,0.0663135,"8,32,16,24,4",2,0
29,0.0177434,"4,32,16,16,4",2,0
30,0.0556304,"4,128,16,16,4",2,0
31,0.00490681,"8,32,16,12,4",2,1
32,0.0225519,"8,32,16,12,3",2,1
33,0.0164391,"8,32,16,12,6",2,1
34,0.00301019,"8,32,16,8,4",2,1
35,0.0404976,"8,32,16,16,4",2,1
36,0.00442631,"4,32,16,12,4",2,1
37,0.0302521,"16,32,16,12,4",2,1
38,0.00106409,"8,16,16,12,4",2,1
39,0.0339753,"8,64,16,12,4",2,1
40,0.00183045,"8,32,16,8,3",2,1
41,0.00213686,"8,32,16,8,6",2,1
42,0.0513837,"8,32,16,16,3",2,1
43,0.0206096,"8,32,16,16,6",2,1
44,0.0055292,"4,32,16,12,3",2,1
45,0.00562011,"4,32,16,12,6",2,1
46,0.0298788,"16,32,16,12,3",2,1
47,0.0301033,"16,32,16,12,6",2,1
48,0.00170079,"4,32,16,8,4",2,1
49,0.0178234,"4,32,16,16,4",2,1
50,0.00460534,"16,32,16,8,4",2,1
51,0.0500751,"16,32,16,16,4",2,1
52,0.0010406,"8,16,16,12,3",2,1
53,0.00100612,"8,16,16,12,6",2,1
54,0.0444579,"8,64,16,12,3",2,1
55,0.027714,"8,64,16,12,6",2,1
56,0.000690286,"8,16,16,8,4",2,1
57,0.0035537,"8,16,16,16,4",2,1
58,0.0125764,"8,64,16,8,4",2,1
59,0.00104082,"4,16,16,12,4",2,1
60,0.00160131,"16,16,16,12,4",2,1
61,0.0290219,"4,64,16,12,4",2,1
62,0.000690286,"8,16,16,8,4",2,2
63,0.000804457,"8,16,16,8,3",2,2
64,0.000615272,"8,16,16,8,6",2,2
65,0.000668791,"8,16,12,8,4",2,2
66,0.00102045,"8,16,24,8,4",2,2
67,0.00061537,"8,16,16,6,4",2,2
68,0.00106736,"8,16,16,12,4",2,2
69,0.000634385,"4,16,16,8,4",2,2
70,0.00102659,"16,16,16,8,4",2,2
71,0.000541192,"8,8,16,8,4",2,2
72,0.00304113,"8,32,16,8,4",2,2
73,0.000749966,"8,16,12,8,3",2,2
74,0.000598527,"8,16,12,8,6",2,2
75,0.00110919,"8,16,24,8,3",2,2
76,0.000859859,"8,16,24,8,6",2,2
77,0.000709369,"8,16,16,6,3",2,2
78,0.000519423,"8,16,16,6,6",2,2
79,0.00104209,"8,16,16,12,3",2,2
80,0.00100819,"8,16,16,12,6",2,2
81,0.000702345,"4,16,16,8,3",2,2
82,0.000535876,"4,16,16,8,6",2,2
83,0.00120164,"16,16,16,8,3",2,2
84,0.000943225,"16,16,16,8,6",2,2
85,0.000631397,"4,16,12,8,4",2,2
86,0.000668145,"4,16,24,8,4",2,2
87,0.00113084,"16,16,12,8,4",2,2
88,0.00264185,"16,16,24,8,4",2,2
89,0.000566947,"4,16,16,6,4",2,2
90,0.00104143,"4,16,16,12,4",2,2
91,0.000854219,"16,16,16,6,4",2,2
92,0.00160056,"16,16,16,12,4",2,2
93,0.000618199,"8,8,16,8,3",2,2
94,0.000446604,"8,8,16,8,6",2,2
95,0.00185645,"8,32,16,8,3",2,2
96,0.00217331,"8,32,16,8,6",2,2
97,0.00052685,"8,8,12,8,4",2,2
98,0.000650936,"8,8,24,8,4",2,2
99,0.00173239,"8,32,12,8,4",2,2
100,0.0023194,"8,32,24,8,4",2,2
101,0.000478861,"8,8,16,6,4",2,2
102,0.00058532,"8,8,16,12,4",2,2
103,0.000843715,"8,32,16,6,4",2,2
104,0.000457653,"4,8,16,8,4",2,2
105,0.000710248,"16,8,16,8,4",2,2
