0,1,2,3,4,5,6,7,8,1h_min,2h_min,3h_min,4h_min,5h_min
4,1,2,15,1,0.0399312,0,2,"16,2,3,256,2",0,0,-1,-1,-1
4,0,2,15,0,0.00552055,1,2,"16,1,3,256,1",1,1,-1,-1,-1
5,0,0,15,0,0.00413573,2,2,"32,1,1,256,1",0,0,-1,-1,-1
5,0,0,14,1,0.00122612,3,2,"32,1,1,192,2",0,0,-1,-1,-1
5,0,0,13,2,0.00085438,4,2,"32,1,1,128,3",0,0,-1,-1,-1
5,0,0,13,3,0.000726952,5,2,"32,1,1,128,4",0,0,-1,-1,-1
5,0,0,12,4,0.000547425,6,2,"32,1,1,96,6",0,0,-1,-1,-1
5,0,0,11,5,0.000397216,7,2,"32,1,1,64,8",0,0,-1,-1,-1
5,0,0,10,6,0.000345213,8,2,"32,1,1,48,12",0,0,-1,-1,-1
5,0,0,9,6,0.000294448,9,2,"32,1,1,32,12",1,1,1,1,1
