0,1,2,3,4,5,6,7,8,1h_min,2h_min,3h_min,4h_min,5h_min
5,3,9,4,3,0.0052967,0,2,"32,8,32,6,4",0,0,-1,-1,-1
4,2,9,4,3,0.000643999,1,2,"16,4,32,6,4",0,0,-1,-1,-1
3,2,9,4,4,0.000410271,2,2,"8,4,32,6,6",0,0,-1,-1,-1
3,2,9,3,5,0.000305585,3,2,"8,4,32,4,8",0,0,-1,-1,-1
3,2,8,3,6,0.000234655,4,2,"8,4,24,4,12",0,0,-1,-1,-1
3,2,7,3,7,0.000211243,5,2,"8,4,16,4,16",0,1,-1,-1,-1
3,2,7,3,8,0.000209804,6,2,"8,4,16,4,24",1,1,0,-1,-1
2,3,7,3,9,0.000209472,7,2,"4,8,16,4,32",0,0,-1,-1,-1
2,3,7,4,10,0.00020376,8,2,"4,8,16,6,48",1,0,-1,-1,-1
3,2,7,4,10,0.000203479,9,2,"8,4,16,6,48",1,1,1,1,1
