0,1,2,3,4,5,6,7,8,1h_min,2h_min,3h_min,4h_min,5h_min
3,6,9,8,4,0.111157,0,2,"8,64,32,24,6",0,0,-1,-1,-1
3,5,7,8,4,0.0277089,1,2,"8,32,16,24,6",0,0,-1,-1,-1
3,4,7,7,4,0.00382174,2,2,"8,16,16,16,6",0,0,-1,-1,-1
3,3,7,6,4,0.000511014,3,2,"8,8,16,12,6",0,0,-1,-1,-1
3,2,7,6,5,0.000336633,4,2,"8,4,16,12,8",0,0,-1,-1,-1
3,2,7,6,6,0.0002852,5,2,"8,4,16,12,12",1,1,1,0,-1
2,3,7,5,7,0.0002739,6,2,"4,8,16,8,16",0,0,-1,-1,-1
2,3,7,4,8,0.000218368,7,2,"4,8,16,6,24",0,0,-1,-1,-1
2,3,7,3,9,0.000207025,8,2,"4,8,16,4,32",0,0,-1,-1,-1
2,3,7,4,10,0.000203265,9,2,"4,8,16,6,48",1,1,1,1,1
