0,1,2,3,4,5,6,7,8,1h_min,2h_min,3h_min,4h_min,5h_min
0,8,9,6,2,0.0915274,0,2,"1,256,32,12,3",0,0,-1,-1,-1
0,7,9,5,2,0.0161577,1,2,"1,128,32,8,3",0,0,-1,-1,-1
0,6,9,4,2,0.00279423,2,2,"1,64,32,6,3",0,0,-1,-1,-1
0,5,9,4,3,0.000751114,3,2,"1,32,32,6,4",0,0,-1,-1,-1
0,4,9,3,3,0.000459447,4,2,"1,16,32,4,4",0,0,-1,-1,-1
0,3,9,3,4,0.000345272,5,2,"1,8,32,4,6",0,0,-1,-1,-1
1,3,9,3,5,0.000284496,6,2,"2,8,32,4,8",0,0,-1,-1,-1
2,3,9,3,6,0.000253804,7,2,"4,8,32,4,12",0,0,-1,-1,-1
2,3,8,3,7,0.000220528,8,2,"4,8,24,4,16",0,0,-1,-1,-1
2,3,8,3,8,0.000209114,9,2,"4,8,24,4,24",0,0,-1,-1,-1
2,3,8,3,9,0.000205106,10,2,"4,8,24,4,32",1,1,0,-1,-1
2,3,7,4,10,0.000204307,11,2,"4,8,16,6,48",1,0,-1,-1,-1
3,2,7,4,10,0.00020307,12,2,"8,4,16,6,48",1,1,1,1,1
