4,1,3,12,3,0.0016404,6,2,"16,2,4,96,4"
3,0,5,12,2,0.00321407,6,2,"8,1,8,96,3"
3,0,5,12,4,0.00298471,6,2,"8,1,8,96,6"
3,2,5,12,2,0.00839247,6,2,"8,4,8,96,3"
3,2,5,12,4,0.0107229,6,2,"8,4,8,96,6"
3,0,3,12,3,0.00212318,6,2,"8,1,4,96,4"
3,2,3,12,3,0.0109802,6,2,"8,4,4,96,4"
2,0,5,12,3,0.00371971,6,2,"4,1,8,96,4"
4,0,5,12,3,0.00550605,6,2,"16,1,8,96,4"
4,2,5,12,3,0.0181338,6,2,"16,4,8,96,4"
3,1,3,11,3,0.00140707,7,2,"8,2,4,64,4"
3,1,3,11,2,0.00128956,7,2,"8,2,4,64,3"
3,1,3,11,4,0.00149729,7,2,"8,2,4,64,6"
3,1,4,11,3,0.00175935,7,2,"8,2,6,64,4"
3,1,3,10,3,0.000869663,7,2,"8,2,4,48,4"
3,1,3,12,3,0.00172069,7,2,"8,2,4,96,4"
4,1,3,11,3,0.00116928,7,2,"16,2,4,64,4"
3,0,3,11,3,0.00151949,7,2,"8,1,4,64,4"
3,2,3,11,3,0.00332369,7,2,"8,4,4,64,4"
3,1,4,11,2,0.00169228,7,2,"8,2,6,64,3"
3,1,4,11,4,0.0017114,7,2,"8,2,6,64,6"
3,1,3,10,2,0.000884433,7,2,"8,2,4,48,3"
3,1,3,10,4,0.000611959,7,2,"8,2,4,48,6"
3,1,3,12,2,0.00176712,7,2,"8,2,4,96,3"
3,1,3,12,4,0.00199982,7,2,"8,2,4,96,6"
4,1,3,11,2,0.00133954,7,2,"16,2,4,64,3"
4,1,3,11,4,0.00119123,7,2,"16,2,4,64,6"
4,1,2,11,3,0.00100066,7,2,"16,2,3,64,4"
4,1,4,11,3,0.00225859,7,2,"16,2,6,64,4"
4,1,3,10,3,0.000711169,7,2,"16,2,4,48,4"
4,1,3,12,3,0.00165239,7,2,"16,2,4,96,4"
3,0,3,11,2,0.00156712,7,2,"8,1,4,64,3"
3,0,3,11,4,0.00149786,7,2,"8,1,4,64,6"
3,2,3,11,2,0.00346544,7,2,"8,4,4,64,3"
3,2,3,11,4,0.00348987,7,2,"8,4,4,64,6"
3,0,4,11,3,0.00222042,7,2,"8,1,6,64,4"
3,2,4,11,3,0.00417829,7,2,"8,4,6,64,4"
3,0,3,10,3,0.000803982,7,2,"8,1,4,48,4"
3,0,3,12,3,0.00214282,7,2,"8,1,4,96,4"
3,2,3,10,3,0.000939999,7,2,"8,4,4,48,4"
3,2,3,12,3,0.0110697,7,2,"8,4,4,96,4"
4,0,3,11,3,0.00175351,7,2,"16,1,4,64,4"
4,2,3,11,3,0.00355246,7,2,"16,4,4,64,4"
3,1,3,10,4,0.000611959,8,2,"8,2,4,48,6"
3,1,3,10,3,0.000869181,8,2,"8,2,4,48,4"
3,1,3,10,5,0.000892544,8,2,"8,2,4,48,8"
3,1,3,9,4,0.000799575,8,2,"8,2,4,32,6"
3,1,3,11,4,0.00149694,8,2,"8,2,4,64,6"
4,1,3,10,4,0.000610759,8,2,"16,2,4,48,6"
3,0,3,10,4,0.000758183,8,2,"8,1,4,48,6"
3,2,3,10,4,0.000853201,8,2,"8,4,4,48,6"
3,1,3,9,3,0.000845843,8,2,"8,2,4,32,4"
3,1,3,9,5,0.000767182,8,2,"8,2,4,32,8"
3,1,3,11,5,0.00129583,8,2,"8,2,4,64,8"
4,1,3,10,3,0.000711565,8,2,"16,2,4,48,4"
4,1,3,10,5,0.000677708,8,2,"16,2,4,48,8"
4,1,1,10,4,0.000518341,8,2,"16,2,2,48,6"
4,1,3,9,4,0.00092671,8,2,"16,2,4,32,6"
4,1,3,11,4,0.00119109,8,2,"16,2,4,64,6"
3,0,3,10,3,0.000803972,8,2,"8,1,4,48,4"
3,0,3,10,5,0.000746604,8,2,"8,1,4,48,8"
3,2,3,10,3,0.000940263,8,2,"8,4,4,48,4"
3,2,3,10,5,0.000922089,8,2,"8,4,4,48,8"
3,0,3,9,4,0.00135234,8,2,"8,1,4,32,6"
3,0,3,11,4,0.00149746,8,2,"8,1,4,64,6"
3,2,3,9,4,0.000706294,8,2,"8,4,4,32,6"
3,2,3,11,4,0.00349326,8,2,"8,4,4,64,6"
4,0,3,10,4,0.000781447,8,2,"16,1,4,48,6"
4,2,3,10,4,0.000866194,8,2,"16,4,4,48,6"
4,1,1,10,4,0.000518341,9,2,"16,2,2,48,6"
4,1,1,10,3,0.000627542,9,2,"16,2,2,48,4"
4,1,1,10,5,0.000482772,9,2,"16,2,2,48,8"
4,1,1,9,4,0.000433559,9,2,"16,2,2,32,6"
4,1,1,11,4,0.000714715,9,2,"16,2,2,64,6"
5,1,1,10,4,0.000501816,9,2,"32,2,2,48,6"
4,0,1,10,4,0.000414872,9,2,"16,1,2,48,6"
4,2,1,10,4,0.000850356,9,2,"16,4,2,48,6"
4,1,1,9,3,0.000505147,9,2,"16,2,2,32,4"
4,1,1,9,5,0.000396152,9,2,"16,2,2,32,8"
4,1,1,11,3,0.000713207,9,2,"16,2,2,64,4"
4,1,1,11,5,0.000730142,9,2,"16,2,2,64,8"
5,1,1,10,3,0.000624161,9,2,"32,2,2,48,4"
5,1,1,10,5,0.000625184,9,2,"32,2,2,48,8"
5,1,0,10,4,0.000522,9,2,"32,2,1,48,6"
5,1,1,9,4,0.000410038,9,2,"32,2,2,32,6"
5,1,1,11,4,0.000661993,9,2,"32,2,2,64,6"
4,0,1,10,3,0.000480068,9,2,"16,1,2,48,4"
4,0,1,10,5,0.000372222,9,2,"16,1,2,48,8"
4,2,1,10,3,0.000917977,9,2,"16,4,2,48,4"
4,2,1,10,5,0.000838891,9,2,"16,4,2,48,8"
4,0,1,9,4,0.000431593,9,2,"16,1,2,32,6"
4,0,1,11,4,0.000523285,9,2,"16,1,2,64,6"
4,2,1,9,4,0.000618676,9,2,"16,4,2,32,6"
4,2,1,11,4,0.0030878,9,2,"16,4,2,64,6"
5,0,1,10,4,0.000404947,9,2,"32,1,2,48,6"
5,2,1,10,4,0.000883162,9,2,"32,4,2,48,6"
4,0,1,10,5,0.000372222,10,2,"16,1,2,48,8"
4,0,1,10,4,0.000416255,10,2,"16,1,2,48,6"
4,0,1,10,6,0.000349786,10,2,"16,1,2,48,12"
4,0,1,9,5,0.000399487,10,2,"16,1,2,32,8"
4,0,1,11,5,0.000509201,10,2,"16,1,2,64,8"
5,0,1,10,5,0.000340843,10,2,"32,1,2,48,8"
4,1,1,10,5,0.000486264,10,2,"16,2,2,48,8"
4,0,1,9,4,0.000431563,10,2,"16,1,2,32,6"
4,0,1,9,6,0.000401529,10,2,"16,1,2,32,12"
4,0,1,11,4,0.000523114,10,2,"16,1,2,64,6"
4,0,1,11,6,0.000457642,10,2,"16,1,2,64,12"
5,0,1,10,4,0.000405514,10,2,"32,1,2,48,6"
5,0,1,10,6,0.000309298,10,2,"32,1,2,48,12"
5,0,0,10,5,0.000365456,10,2,"32,1,1,48,8"
5,0,1,9,5,0.000426929,10,2,"32,1,2,32,8"
5,0,1,11,5,0.000551252,10,2,"32,1,2,64,8"
4,1,1,10,6,0.000459986,10,2,"16,2,2,48,12"
4,1,1,9,5,0.000397283,10,2,"16,2,2,32,8"
4,1,1,11,5,0.0007317,10,2,"16,2,2,64,8"
5,1,1,10,5,0.00062965,10,2,"32,2,2,48,8"
5,0,1,10,6,0.000309298,11,2,"32,1,2,48,12"
5,0,1,10,5,0.000339706,11,2,"32,1,2,48,8"
5,0,1,10,7,0.000332924,11,2,"32,1,2,48,16"
5,0,0,10,6,0.000341661,11,2,"32,1,1,48,12"
5,0,1,9,6,0.00040315,11,2,"32,1,2,32,12"
5,0,1,11,6,0.000551217,11,2,"32,1,2,64,12"
4,0,1,10,6,0.000351358,11,2,"16,1,2,48,12"
6,0,1,10,6,0.000328828,11,2,"64,1,2,48,12"
5,1,1,10,6,0.000431126,11,2,"32,2,2,48,12"
5,0,0,10,5,0.000364962,11,2,"32,1,1,48,8"
5,0,0,10,7,0.000323555,11,2,"32,1,1,48,16"
5,0,1,9,5,0.000425811,11,2,"32,1,2,32,8"
5,0,1,9,7,0.000415329,11,2,"32,1,2,32,16"
5,0,1,11,5,0.000551113,11,2,"32,1,2,64,8"
5,0,1,11,7,0.000578279,11,2,"32,1,2,64,16"
5,0,0,9,6,0.00029509,11,2,"32,1,1,32,12"
5,0,0,11,6,0.000351129,11,2,"32,1,1,64,12"
4,0,1,10,7,0.000332523,11,2,"16,1,2,48,16"
6,0,1,10,5,0.00038839,11,2,"64,1,2,48,8"
6,0,1,10,7,0.000389574,11,2,"64,1,2,48,16"
6,0,0,10,6,0.000363313,11,2,"64,1,1,48,12"
4,0,1,9,6,0.00040332,11,2,"16,1,2,32,12"
4,0,1,11,6,0.000461769,11,2,"16,1,2,64,12"
6,0,1,9,6,0.000491561,11,2,"64,1,2,32,12"
6,0,1,11,6,0.000577786,11,2,"64,1,2,64,12"
5,1,1,10,5,0.000629219,11,2,"32,2,2,48,8"
5,1,1,10,7,0.000410102,11,2,"32,2,2,48,16"
5,1,0,10,6,0.000447182,11,2,"32,2,1,48,12"
5,1,1,9,6,0.000350728,11,2,"32,2,2,32,12"
5,1,1,11,6,0.000643888,11,2,"32,2,2,64,12"
4,1,1,10,6,0.000460096,11,2,"16,2,2,48,12"
6,1,1,10,6,0.000778989,11,2,"64,2,2,48,12"
5,0,0,9,6,0.00029509,12,2,"32,1,1,32,12"
5,0,0,9,5,0.000308066,12,2,"32,1,1,32,8"
5,0,0,9,7,0.000310695,12,2,"32,1,1,32,16"
5,0,0,8,6,0.000308019,12,2,"32,1,1,24,12"
6,0,0,9,6,0.000355695,12,2,"64,1,1,32,12"
5,1,0,9,6,0.000344434,12,2,"32,2,1,32,12"
5,0,0,8,5,0.000311819,12,2,"32,1,1,24,8"
5,0,0,8,7,0.0003143,12,2,"32,1,1,24,16"
6,0,0,9,5,0.000362954,12,2,"64,1,1,32,8"
6,0,0,9,7,0.000337816,12,2,"64,1,1,32,16"
6,0,0,8,6,0.000307175,12,2,"64,1,1,24,12"
5,1,0,9,5,0.000407627,12,2,"32,2,1,32,8"
5,1,0,9,7,0.000376335,12,2,"32,2,1,32,16"
5,1,0,8,6,0.000319311,12,2,"32,2,1,24,12"
6,1,0,9,6,0.000364541,12,2,"64,2,1,32,12"
5,0,0,9,6,0.00029509,12,3,"32,1,1,32,12"
5,0,0,8,5,0.000310499,12,3,"32,1,1,24,8"
5,0,0,8,7,0.000314422,12,3,"32,1,1,24,16"
6,0,0,9,5,0.000363005,12,3,"64,1,1,32,8"
6,0,0,9,7,0.000337779,12,3,"64,1,1,32,16"
6,0,0,8,5,0.000327325,12,3,"64,1,1,24,8"
6,0,0,8,7,0.000332145,12,3,"64,1,1,24,16"
6,0,0,8,6,0.000307405,12,3,"64,1,1,24,12"
5,0,0,9,5,0.000308341,12,3,"32,1,1,32,8"
5,0,0,9,7,0.00031172,12,3,"32,1,1,32,16"
5,1,0,9,5,0.00040842,12,3,"32,2,1,32,8"
5,1,0,9,7,0.000375806,12,3,"32,2,1,32,16"
5,1,0,8,5,0.000345426,12,3,"32,2,1,24,8"
5,1,0,8,7,0.000342592,12,3,"32,2,1,24,16"
5,0,0,8,6,0.000308737,12,3,"32,1,1,24,12"
5,1,0,8,6,0.000319977,12,3,"32,2,1,24,12"
6,1,0,9,5,0.000424196,12,3,"64,2,1,32,8"
6,1,0,9,7,0.000428878,12,3,"64,2,1,32,16"
6,0,0,9,6,0.000354175,12,3,"64,1,1,32,12"
6,1,0,9,6,0.000363586,12,3,"64,2,1,32,12"
6,1,0,8,6,0.000374356,12,3,"64,2,1,24,12"
5,0,0,9,6,0.00029509,12,4,"32,1,1,32,12"
6,0,0,8,5,0.000325017,12,4,"64,1,1,24,8"
6,0,0,8,7,0.000332264,12,4,"64,1,1,24,16"
5,0,0,8,5,0.000309056,12,4,"32,1,1,24,8"
5,0,0,8,7,0.000315882,12,4,"32,1,1,24,16"
5,1,0,8,5,0.000346436,12,4,"32,2,1,24,8"
5,1,0,8,7,0.0003425,12,4,"32,2,1,24,16"
6,0,0,9,5,0.000358909,12,4,"64,1,1,32,8"
6,0,0,9,7,0.000338108,12,4,"64,1,1,32,16"
6,1,0,9,5,0.000424404,12,4,"64,2,1,32,8"
6,1,0,9,7,0.000429141,12,4,"64,2,1,32,16"
6,1,0,8,5,0.000360295,12,4,"64,2,1,24,8"
6,1,0,8,7,0.000372753,12,4,"64,2,1,24,16"
6,0,0,8,6,0.00031071,12,4,"64,1,1,24,12"
6,1,0,8,6,0.0003751,12,4,"64,2,1,24,12"
5,0,0,9,6,0.00029509,12,5,"32,1,1,32,12"
6,0,0,8,5,0.000325527,12,5,"64,1,1,24,8"
6,0,0,8,7,0.000331047,12,5,"64,1,1,24,16"
6,1,0,8,5,0.000360347,12,5,"64,2,1,24,8"
6,1,0,8,7,0.000371751,12,5,"64,2,1,24,16"
