index,exe_time,tile_sizes,mark,age
0,0.0266134,"4,16,16,48,8",2,0
1,0.0206231,"4,16,16,48,6",2,0
2,0.021543,"4,16,16,48,12",2,0
3,0.0222332,"4,16,8,48,8",2,0
4,0.022442,"2,16,16,48,8",2,0
5,0.0291976,"8,16,16,48,8",2,0
6,0.00921915,"4,8,16,48,8",2,0
7,0.0381425,"4,32,16,48,8",2,0
8,0.0180527,"4,16,8,48,6",2,0
9,0.0191968,"4,16,8,48,12",2,0
10,0.0135619,"4,16,8,32,8",2,0
11,0.0244751,"2,16,16,48,6",2,0
12,0.0180785,"2,16,16,48,12",2,0
13,0.0253888,"8,16,16,48,6",2,0
14,0.0245764,"8,16,16,48,12",2,0
15,0.0252509,"8,16,8,48,8",2,0
16,0.00962603,"4,8,16,48,6",2,0
17,0.00950004,"4,8,16,48,12",2,0
18,0.0382465,"4,32,16,48,6",2,0
19,0.0380394,"4,32,16,48,12",2,0
20,0.00973973,"4,8,8,48,8",2,0
21,0.0375375,"4,32,8,48,8",2,0
22,0.0107198,"2,8,16,48,8",2,0
23,0.00910396,"8,8,16,48,8",2,0
24,0.0377199,"2,32,16,48,8",2,0
25,0.0534889,"8,32,16,48,8",2,0
26,0.00910396,"8,8,16,48,8",2,1
27,0.00969539,"8,8,16,48,6",2,1
28,0.00972819,"8,8,16,48,12",2,1
29,0.00529193,"8,8,8,48,8",2,1
30,0.00919681,"4,8,16,48,8",2,1
31,0.0121878,"16,8,16,48,8",2,1
32,0.00163364,"8,4,16,48,8",2,1
33,0.0289243,"8,16,16,48,8",2,1
34,0.0106635,"8,8,8,48,6",2,1
35,0.00885952,"8,8,8,48,12",2,1
36,0.00347943,"8,8,8,32,8",2,1
37,0.00953082,"4,8,16,48,6",2,1
38,0.00940068,"4,8,16,48,12",2,1
39,0.0123991,"16,8,16,48,6",2,1
40,0.0123274,"16,8,16,48,12",2,1
41,0.00972391,"4,8,8,48,8",2,1
42,0.00940556,"16,8,8,48,8",2,1
43,0.00166779,"8,4,16,48,6",2,1
44,0.00162449,"8,4,16,48,12",2,1
45,0.0253425,"8,16,16,48,6",2,1
46,0.0245708,"8,16,16,48,12",2,1
47,0.0010332,"8,4,8,48,8",2,1
48,0.025885,"8,16,8,48,8",2,1
49,0.00119301,"4,4,16,48,8",2,1
50,0.00288692,"16,4,16,48,8",2,1
51,0.0478123,"16,16,16,48,8",2,1
52,0.0010332,"8,4,8,48,8",2,2
53,0.00122749,"8,4,8,48,6",2,2
54,0.00104429,"8,4,8,48,12",2,2
55,0.00163249,"8,4,16,48,8",2,2
56,0.00126126,"8,4,8,32,8",2,2
57,0.00115258,"4,4,8,48,8",2,2
58,0.00154091,"16,4,8,48,8",2,2
59,0.00099621,"8,2,8,48,8",2,2
60,0.005296,"8,8,8,48,8",2,2
61,0.00166784,"8,4,16,48,6",2,2
62,0.00162448,"8,4,16,48,12",2,2
63,0.00127655,"8,4,8,32,6",2,2
64,0.00118335,"8,4,8,32,12",2,2
65,0.00138745,"4,4,8,48,6",2,2
66,0.00119433,"4,4,8,48,12",2,2
67,0.00159811,"16,4,8,48,6",2,2
68,0.00148067,"16,4,8,48,12",2,2
69,0.0011931,"4,4,16,48,8",2,2
70,0.00288697,"16,4,16,48,8",2,2
71,0.00138182,"4,4,8,32,8",2,2
72,0.00189345,"16,4,8,32,8",2,2
73,0.00105909,"8,2,8,48,6",2,2
74,0.00108548,"8,2,8,48,12",2,2
75,0.0106594,"8,8,8,48,6",2,2
76,0.00907227,"8,8,8,48,12",2,2
77,0.0016585,"8,2,16,48,8",2,2
78,0.00173319,"8,2,8,32,8",2,2
79,0.00347549,"8,8,8,32,8",2,2
80,0.000915127,"4,2,8,48,8",2,2
81,0.0015195,"16,2,8,48,8",2,2
82,0.00973855,"4,8,8,48,8",2,2
83,0.00943494,"16,8,8,48,8",2,2
84,0.000915127,"4,2,8,48,8",2,3
85,0.00108798,"4,2,8,48,6",2,3
86,0.00108931,"4,2,8,48,12",2,3
87,0.000993355,"4,2,16,48,8",2,3
88,0.00145385,"4,2,8,32,8",2,3
89,0.000997622,"8,2,8,48,8",2,3
90,0.00153262,"4,1,8,48,8",2,3
91,0.00115326,"4,4,8,48,8",2,3
92,0.0011737,"4,2,16,48,6",2,3
93,0.00114488,"4,2,16,48,12",2,3
94,0.00151479,"4,2,8,32,6",2,3
95,0.00141228,"4,2,8,32,12",2,3
96,0.00105892,"8,2,8,48,6",2,3
97,0.00108607,"8,2,8,48,12",2,3
98,0.00117197,"2,2,16,48,8",2,3
99,0.00165962,"8,2,16,48,8",2,3
100,0.00173476,"8,2,8,32,8",2,3
101,0.00154665,"4,1,8,48,6",2,3
102,0.00144583,"4,1,8,48,12",2,3
103,0.00138939,"4,4,8,48,6",2,3
104,0.00119799,"4,4,8,48,12",2,3
105,0.00142971,"4,1,16,48,8",2,3
106,0.00119309,"4,4,16,48,8",2,3
107,0.00264831,"4,1,8,32,8",2,3
108,0.00138367,"4,4,8,32,8",2,3
109,0.00137222,"8,1,8,48,8",2,3
110,0.000915127,"4,2,8,48,8",3,3
111,0.00119205,"2,2,16,48,6",3,3
112,0.0013342,"2,2,16,48,12",3,3
113,0.0017366,"8,2,16,48,6",3,3
114,0.00157783,"8,2,16,48,12",3,3
115,0.00174246,"8,2,8,32,6",3,3
116,0.00173243,"8,2,8,32,12",3,3
117,0.00142727,"4,1,16,48,6",3,3
118,0.00147641,"4,1,16,48,12",3,3
