0,1,2,3,4,5,6,7,8,1h_min,2h_min,3h_min,4h_min,5h_min
4,4,1,12,3,0.0713772,0,2,"16,16,2,96,4",0,0,-1,-1,-1
4,3,1,11,3,0.0140354,1,2,"16,8,2,64,4",0,0,-1,-1,-1
4,2,1,10,3,0.000911364,2,2,"16,4,2,48,4",0,0,-1,-1,-1
4,1,1,9,3,0.000506209,3,2,"16,2,2,32,4",0,0,-1,-1,-1
4,0,1,8,3,0.000374053,4,2,"16,1,2,24,4",0,0,-1,-1,-1
5,0,1,7,3,0.000348207,5,2,"32,1,2,16,4",1,0,-1,-1,-1
5,1,1,7,4,0.000325102,6,2,"32,2,2,16,6",0,0,-1,-1,-1
5,0,1,7,5,0.000277533,7,2,"32,1,2,16,8",0,0,-1,-1,-1
5,1,1,7,6,0.000273994,8,2,"32,2,2,16,12",0,0,-1,-1,-1
4,1,1,7,6,0.000242232,9,2,"16,2,2,16,12",1,1,1,1,1
