0,1,2,3,4,5,6,7,8,1h_min,2h_min,3h_min,4h_min,5h_min
5,4,3,14,1,0.110401,0,2,"32,16,4,192,2",0,0,-1,-1,-1
5,3,1,14,1,0.0357633,1,2,"32,8,2,192,2",0,0,-1,-1,-1
5,2,0,14,1,0.0214711,2,2,"32,4,1,192,2",0,0,-1,-1,-1
5,1,0,13,1,0.00251564,3,2,"32,2,1,128,2",0,0,-1,-1,-1
5,0,0,13,2,0.000849898,4,2,"32,1,1,128,3",0,0,-1,-1,-1
5,0,0,13,3,0.000725417,5,2,"32,1,1,128,4",1,0,-1,-1,-1
5,0,0,12,4,0.000547246,6,2,"32,1,1,96,6",0,0,-1,-1,-1
5,0,0,11,5,0.000396133,7,2,"32,1,1,64,8",0,0,-1,-1,-1
5,0,0,10,6,0.00034199,8,2,"32,1,1,48,12",0,0,-1,-1,-1
5,0,0,9,6,0.000292259,9,2,"32,1,1,32,12",1,1,1,1,1
