0,1,2,3,4,5,6,7,8,1h_min,2h_min,3h_min,4h_min,5h_min
0,7,14,3,1,0.0601739,0,2,"1,128,192,4,2",0,0,-1,-1,-1
0,6,14,3,2,0.00228653,1,2,"1,64,192,4,3",0,0,-1,-1,-1
0,5,12,3,2,0.000748015,2,2,"1,32,96,4,3",0,0,-1,-1,-1
0,4,12,3,3,0.000522643,3,2,"1,16,96,4,4",0,0,-1,-1,-1
0,3,12,3,4,0.000387786,4,2,"1,8,96,4,6",0,0,-1,-1,-1
1,2,12,3,4,0.000346257,5,2,"2,4,96,4,6",0,0,-1,-1,-1
1,2,11,3,5,0.000327487,6,2,"2,4,64,4,8",0,0,-1,-1,-1
1,3,10,3,5,0.00028257,7,2,"2,8,48,4,8",0,0,-1,-1,-1
1,3,9,3,6,0.000271949,8,2,"2,8,32,4,12",0,0,-1,-1,-1
2,3,8,3,6,0.000225957,9,2,"4,8,24,4,12",0,0,-1,-1,-1
2,3,8,3,7,0.000219158,10,2,"4,8,24,4,16",0,0,-1,-1,-1
3,3,7,3,7,0.000212186,11,2,"8,8,16,4,16",1,0,-1,-1,-1
3,2,7,3,8,0.000208673,12,2,"8,4,16,4,24",1,1,0,-1,-1
2,3,7,3,9,0.000208057,13,2,"4,8,16,4,32",0,0,-1,-1,-1
2,3,7,4,10,0.000204379,14,2,"4,8,16,6,48",1,1,1,1,1
