0,1,2,3,4,5,6,7,8,1h_min,2h_min,3h_min,4h_min,5h_min
1,6,8,5,3,0.0183352,0,2,"2,64,24,8,4",0,0,-1,-1,-1
1,5,8,5,3,0.00141211,1,2,"2,32,24,8,4",0,0,-1,-1,-1
1,4,8,5,4,0.00053506,2,2,"2,16,24,8,6",0,0,-1,-1,-1
1,3,8,5,5,0.00035682,3,2,"2,8,24,8,8",0,0,-1,-1,-1
1,3,7,4,5,0.00030246,4,2,"2,8,16,6,8",0,0,-1,-1,-1
1,3,7,3,6,0.00023494,5,2,"2,8,16,4,12",0,0,-1,-1,-1
2,3,7,3,7,0.000217704,6,2,"4,8,16,4,16",0,0,-1,-1,-1
2,3,8,3,8,0.000209915,7,2,"4,8,24,4,24",0,0,-1,-1,-1
2,3,8,3,9,0.000205482,8,2,"4,8,24,4,32",0,1,-1,-1,-1
2,3,7,3,9,0.000204764,9,2,"4,8,16,4,32",1,0,-1,-1,-1
2,3,7,4,10,0.000204698,10,2,"4,8,16,6,48",1,1,1,1,1
