0,1,2,3,4,5,6,7,8,1h_min,2h_min,3h_min,4h_min,5h_min
3,3,4,13,6,0.0292022,0,2,"8,8,6,128,12",0,0,-1,-1,-1
3,2,4,13,6,0.0143714,1,2,"8,4,6,128,12",0,0,-1,-1,-1
3,1,4,13,6,0.00590188,2,2,"8,2,6,128,12",0,0,-1,-1,-1
3,0,4,13,6,0.0028496,3,2,"8,1,6,128,12",1,1,-1,-1,-1
4,0,2,13,6,0.00169412,4,2,"16,1,3,128,12",0,0,-1,-1,-1
4,0,1,12,6,0.000619255,5,2,"16,1,2,96,12",0,0,-1,-1,-1
4,0,1,11,7,0.00044333,6,2,"16,1,2,64,16",0,0,-1,-1,-1
4,0,1,10,8,0.000307113,7,2,"16,1,2,48,24",0,0,-1,-1,-1
4,1,1,9,8,0.000288869,8,2,"16,2,2,32,24",0,0,-1,-1,-1
4,1,1,8,9,0.000251043,9,2,"16,2,2,24,32",0,0,-1,-1,-1
5,1,1,8,9,0.00023927,10,2,"32,2,2,24,32",1,1,1,1,1
