index,exe_time,tile_sizes,mark,age
0,0.0776276,"4,64,8,48,6",2,0
1,0.0761348,"4,64,8,48,4",2,0
2,0.0740715,"4,64,8,48,8",2,0
3,0.0754364,"4,64,16,48,6",2,0
4,0.0563627,"4,64,8,32,6",2,0
5,0.0758365,"8,64,8,48,6",2,0
6,0.0377459,"4,32,8,48,6",2,0
7,0.147814,"4,128,8,48,6",2,0
8,0.0775129,"4,64,16,48,4",2,0
9,0.0750622,"4,64,16,48,8",2,0
10,0.0540484,"4,64,8,32,4",2,0
11,0.0570622,"4,64,8,32,8",2,0
12,0.0776087,"8,64,8,48,4",2,0
13,0.0750054,"8,64,8,48,8",2,0
14,0.0739932,"2,64,16,48,6",2,0
15,0.105865,"8,64,16,48,6",2,0
16,0.0584008,"8,64,8,32,6",2,0
17,0.0385871,"4,32,8,48,4",2,0
18,0.0375961,"4,32,8,48,8",2,0
19,0.150945,"4,128,8,48,4",2,0
20,0.146917,"4,128,8,48,8",2,0
21,0.0381713,"4,32,16,48,6",2,0
22,0.149993,"4,128,16,48,6",2,0
23,0.029595,"4,32,8,32,6",2,0
24,0.108842,"4,128,8,32,6",2,0
25,0.0380649,"8,32,8,48,6",2,0
26,0.029595,"4,32,8,32,6",2,1
27,0.0264773,"4,32,8,32,4",2,1
28,0.0251687,"4,32,8,32,8",2,1
29,0.0313858,"4,32,12,32,6",2,1
30,0.0229741,"4,32,8,24,6",2,1
31,0.0377786,"4,32,8,48,6",2,1
32,0.0353148,"8,32,8,32,6",2,1
33,0.0179334,"4,16,8,32,6",2,1
34,0.0563449,"4,64,8,32,6",2,1
35,0.0326706,"4,32,12,32,4",2,1
36,0.0325717,"4,32,12,32,8",2,1
37,0.0229272,"4,32,8,24,4",2,1
38,0.0228808,"4,32,8,24,8",2,1
39,0.0386014,"4,32,8,48,4",2,1
40,0.037602,"4,32,8,48,8",2,1
41,0.032233,"8,32,8,32,4",2,1
42,0.0351996,"8,32,8,32,8",2,1
43,0.0314596,"8,32,6,32,6",2,1
44,0.0387169,"8,32,12,32,6",2,1
45,0.0261903,"8,32,8,24,6",2,1
46,0.0382302,"8,32,8,48,6",2,1
47,0.0150762,"4,16,8,32,4",2,1
48,0.0135684,"4,16,8,32,8",2,1
49,0.0540234,"4,64,8,32,4",2,1
50,0.0570296,"4,64,8,32,8",2,1
51,0.0176986,"4,16,12,32,6",2,1
52,0.0601094,"4,64,12,32,6",2,1
53,0.00521215,"4,16,8,24,6",2,1
54,0.018076,"4,16,8,48,6",2,1
55,0.0473356,"4,64,8,24,6",2,1
56,0.0187054,"8,16,8,32,6",2,1
57,0.0581887,"8,64,8,32,6",2,1
58,0.00521215,"4,16,8,24,6",2,2
59,0.00863081,"4,16,8,24,4",2,2
60,0.00694302,"4,16,8,24,8",2,2
61,0.00258302,"4,16,8,16,6",2,2
62,0.0177682,"4,16,8,32,6",2,2
63,0.0143135,"8,16,8,24,6",2,2
64,0.000807291,"4,8,8,24,6",2,2
65,0.0229966,"4,32,8,24,6",2,2
66,0.00223135,"4,16,8,16,4",2,2
